"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","11.46","0.223","0.00","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"1.10","17.19","0.300","0.00","60000.000894","0.000000000","9780.000146","0.000000","0","0"
"2.20","17.16","0.300","-0.00","60000.000894","0.000000000","9620.000143","0.000000","0","0"
"3.30","16.86","0.300","1.50","60000.000894","0.000000000","9609.600143","0.000000","0","0"
"4.40","17.18","0.300","0.00","60000.000894","0.000000000","9428.000140","0.000000","0","0"
"5.50","16.57","0.300","26.22","60000.000894","0.000000000","9340.000139","0.000000","0","0"
"6.60","17.10","0.300","0.01","60000.000894","0.000000000","9240.000138","0.000000","0","0"
"7.70","17.13","0.300","0.00","60000.000894","0.000000000","9180.000137","0.000000","0","0"
"8.70","17.05","0.300","0.13","60000.000894","0.000000000","9146.000136","0.000000","0","0"
"9.70","17.14","0.300","0.00","60000.000894","0.000000000","9036.000135","0.000000","0","0"
"10.70","17.06","0.300","6.53","60000.000894","0.000000000","8820.000131","0.000000","0","0"
"11.70","16.94","0.300","0.17","60000.000894","0.000000000","8820.000131","0.000000","0","0"
"12.70","17.11","0.300","0.00","60000.000894","0.000000000","8760.000131","0.000000","0","0"
"13.70","17.16","0.300","0.09","60000.000894","0.000000000","8720.000130","0.000000","0","0"
"14.70","16.89","0.300","9.25","60000.000894","0.000000000","8600.000128","0.000000","0","0"
"15.70","16.99","0.300","0.01","60000.000894","0.000000000","8560.000128","0.000000","0","0"
"16.80","17.17","0.300","0.04","60000.000894","0.000000000","8368.800125","0.000000","0","0"
