"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","11.46","0.223","0.00","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"1.10","17.19","0.300","0.00","60000.000894","0.000000000","9780.000146","0.000000","0","0"
"2.20","17.16","0.300","0.00","60000.000894","0.000000000","9620.000143","0.000000","0","0"
"3.30","17.04","0.300","2.65","60000.000894","0.000000000","9460.000141","0.000000","0","0"
"4.40","17.17","0.300","0.01","60000.000894","0.000000000","9323.200139","0.000000","0","0"
"5.50","16.45","0.300","22.29","60000.000894","0.000000000","9260.000138","0.000000","0","0"
"6.60","17.16","0.300","0.05","60000.000894","0.000000000","9000.000134","0.000000","0","0"
"7.70","16.71","0.300","1.91","60000.000894","0.000000000","8780.000131","0.000000","0","0"
"8.70","17.02","0.300","-0.00","60000.000894","0.000000000","8520.000127","0.000000","0","0"
"9.70","17.11","0.300","0.47","60000.000894","0.000000000","8300.000124","0.000000","0","0"
"10.70","17.18","0.300","0.00","60000.000894","0.000000000","8100.000121","0.000000","0","0"
"11.70","16.64","0.300","16.59","60000.000894","0.000000000","7840.000117","0.000000","0","0"
"12.70","16.82","0.300","2.40","60000.000894","0.000000000","7760.000116","0.000000","0","0"
"13.70","17.17","0.300","0.01","60000.000894","0.000000000","7580.000113","0.000000","0","0"
"14.70","16.93","0.300","14.27","60000.000894","0.000000000","7600.000113","0.000000","0","0"
"15.70","17.18","0.300","0.09","60000.000894","0.000000000","7640.000114","0.000000","0","0"
"16.80","17.14","0.300","2.44","60000.000894","0.000000000","7340.000109","0.000000","0","0"
