t,worldT,fraction,draftN,tractionBudgetN,targetMps
0.100,0.471,1.000,0.000,70.632,0.0000
1.100,2.641,1.000,0.000,70.632,0.0000
2.200,4.852,1.000,-0.000,69.897,0.0300
3.300,7.049,1.000,-13.506,68.614,0.0193
4.400,9.318,1.000,-0.061,69.959,0.0300
5.500,11.587,0.000,-124.644,67.076,0.0000
6.600,13.786,1.000,-0.279,69.319,0.0300
7.700,16.079,1.000,-9.324,65.865,0.0000
8.700,18.118,1.000,0.000,67.487,0.0000
9.700,20.173,1.000,-2.689,68.658,0.0000
10.700,22.224,1.000,-0.003,69.742,0.0000
11.700,24.302,0.000,-102.426,66.116,0.0000
12.700,26.410,1.000,-15.455,63.947,0.0000
13.700,28.512,1.000,-0.053,69.665,0.0000
14.700,30.592,0.000,-73.145,69.913,0.0000
15.700,32.661,1.000,-0.416,70.455,0.0000
16.800,34.970,1.000,-11.430,70.351,0.0000
