type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,horizontalDisplacementM,fixedBench
Paddle,0.10,-0.36,-0.000,-0.000,-0.000,0.0068,0.0010,0.0000,0
Paddle,1.10,-2.10,-0.000,-0.000,-0.000,0.0012,0.0266,0.0000,0
Paddle,2.20,-2.71,-0.000,-0.000,0.000,0.0093,0.0252,0.0028,0
Paddle,3.30,-2.96,-13.506,-0.000,21.859,0.0105,0.0257,0.0077,0
Paddle,4.40,-3.59,-0.061,-0.000,-0.032,0.0059,0.0229,0.0086,0
Paddle,5.50,-3.41,-124.644,-0.001,199.019,0.0222,0.0288,0.0206,0
Paddle,6.60,-3.64,-0.279,0.000,0.064,0.0096,0.0407,0.0373,0
Paddle,7.70,-3.88,-9.324,0.000,16.308,0.0033,0.0532,0.0515,0
Paddle,8.70,-3.66,0.000,0.000,0.000,0.0014,0.0600,0.0595,0
Paddle,9.70,-3.35,-2.639,0.000,1.393,0.0040,0.0676,0.0676,0
Paddle,10.70,-4.63,-0.003,0.000,0.002,0.0041,0.0768,0.0767,0
Paddle,11.70,-6.30,-102.411,-0.000,158.536,0.0010,0.0815,0.0815,0
Paddle,12.70,-5.99,-15.455,0.000,15.777,0.0068,0.0949,0.0949,0
Paddle,13.70,-6.09,-0.053,-0.000,-0.012,0.0089,0.1081,0.1081,0
Paddle,14.70,-5.59,-73.145,0.001,12.839,0.0081,0.1176,0.1175,0
Paddle,15.70,-5.07,-0.416,-0.000,0.374,0.0022,0.1243,0.1242,0
Paddle,16.80,-6.10,-11.430,-0.000,7.751,0.0023,0.1287,0.1287,0
