t,worldT,fraction,draftN,tractionBudgetN,targetMps
0.100,0.514,1.000,0.000,70.632,0.0000
1.100,2.662,1.000,0.000,70.632,0.0000
2.200,4.866,1.000,0.002,69.889,0.0300
3.300,7.067,1.000,-7.624,66.836,0.0000
4.400,9.338,1.000,-0.024,70.316,0.0300
5.500,11.535,0.000,-139.601,67.134,0.0050
6.600,13.741,1.000,-0.088,68.929,0.0300
7.700,15.941,1.000,0.001,67.165,0.0000
8.700,18.001,1.000,-0.615,68.827,0.0000
9.700,20.015,1.000,-0.002,69.493,0.0000
10.700,22.077,0.802,-32.930,70.223,0.0000
11.700,24.147,1.000,-0.642,68.112,0.0000
12.700,26.214,1.000,-0.001,69.201,0.0000
13.700,28.282,1.000,-0.509,69.915,0.0000
14.700,30.366,0.529,-43.831,66.845,0.0000
15.700,32.440,1.000,0.019,68.167,0.0000
16.800,34.737,1.000,-0.279,70.152,0.0000
