type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,horizontalDisplacementM,fixedBench
Paddle,0.10,-0.40,-0.000,-0.000,-0.000,0.0069,0.0009,0.0000,0
Paddle,1.10,-2.12,0.000,-0.000,0.000,0.0009,0.0263,0.0000,0
Paddle,2.20,-2.71,0.002,-0.000,0.000,0.0098,0.0257,0.0027,0
Paddle,3.30,-2.47,-7.624,0.000,12.302,0.0112,0.0267,0.0076,0
Paddle,4.40,-2.73,-0.024,-0.000,0.023,0.0105,0.0282,0.0130,0
Paddle,5.50,-2.99,-139.601,-0.001,218.315,0.0098,0.0305,0.0178,0
Paddle,6.60,-2.30,-0.088,-0.000,0.061,0.0164,0.0490,0.0412,0
Paddle,7.70,-2.76,0.001,0.000,0.002,0.0030,0.0505,0.0428,0
Paddle,8.70,-2.39,-0.615,0.000,0.551,0.0075,0.0561,0.0499,0
Paddle,9.70,-2.46,-0.002,-0.000,-0.000,0.0056,0.0616,0.0560,0
Paddle,10.70,-2.91,-32.930,-0.000,53.076,0.0037,0.0662,0.0614,0
Paddle,11.70,-2.56,-0.642,0.000,0.789,0.0007,0.0716,0.0677,0
Paddle,12.70,-2.60,-0.001,0.000,0.000,0.0042,0.0769,0.0729,0
Paddle,13.70,-2.67,-0.509,0.000,0.256,0.0040,0.0816,0.0776,0
Paddle,14.70,-3.12,-43.831,-0.001,28.293,0.0022,0.0868,0.0834,0
Paddle,15.70,-2.80,0.019,-0.000,0.136,0.0061,0.0948,0.0922,0
Paddle,16.80,-3.01,-0.279,0.000,0.048,0.0041,0.0995,0.0970,0
