"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","11.46","0.223","0.00","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"1.10","16.55","0.300","6.17","60000.000894","0.000000000","9280.000138","0.000000","0","0"
"2.20","12.96","0.300","100.88","60000.000894","0.000000000","8640.000129","0.000000","0","0"
"3.30","0.00","0.300","781.37","60000.000894","0.000000000","22342.800333","0.000000","0","0"
"4.40","0.00","0.300","1382.66","60000.000894","0.000000000","38064.400567","0.000000","0","0"
"5.50","17.18","0.300","0.00","60000.000894","0.000000000","46443.400692","0.000000","0","0"
"6.60","17.19","0.300","0.00","60000.000894","0.000000000","46405.800692","0.000000","0","0"
"7.70","17.19","0.300","0.00","60000.000894","0.000000000","46375.600691","0.000000","0","0"
"8.70","17.19","0.300","0.00","60000.000894","0.000000000","45780.800682","0.000000","0","0"
"9.70","17.19","0.300","0.00","60000.000894","0.000000000","45698.000681","0.000000","0","0"
"10.70","17.19","0.300","0.00","60000.000894","0.000000000","45793.600682","0.000000","0","0"
"11.70","17.19","0.300","0.00","60000.000894","0.000000000","45916.800684","0.000000","0","0"
"12.70","17.19","0.300","0.00","60000.000894","0.000000000","46038.800686","0.000000","0","0"
"13.70","17.19","0.300","0.00","60000.000894","0.000000000","46139.000688","0.000000","0","0"
"14.70","17.19","0.300","0.00","60000.000894","0.000000000","46257.600689","0.000000","0","0"
"15.70","17.19","0.300","0.00","60000.000894","0.000000000","46327.000690","0.000000","0","0"
"16.80","17.19","0.300","0.00","60000.000894","0.000000000","46327.800690","0.000000","0","0"
