t,worldT,fraction,draftN,tractionBudgetN,targetMps
0.100,0.497,1.000,0.000,0.000,0.0000
1.100,2.596,1.000,-31.887,0.000,0.0000
2.200,4.795,1.000,-600.016,0.000,0.0000
3.300,7.004,1.000,-4274.190,0.000,0.0000
4.400,9.408,1.000,-10616.740,0.000,0.0000
5.500,11.925,1.000,0.000,0.000,0.0000
6.600,14.394,1.000,0.000,0.000,0.0000
7.700,16.864,1.000,0.000,0.000,0.0000
8.700,19.121,1.000,0.000,0.000,0.0000
9.700,21.362,1.000,0.000,0.000,0.0000
10.700,23.605,1.000,0.000,0.000,0.0000
11.700,25.842,1.000,0.000,0.000,0.0000
12.700,28.095,1.000,0.000,0.000,0.0000
13.700,30.358,1.000,0.000,0.000,0.0000
14.700,32.626,1.000,0.000,0.000,0.0000
15.700,34.873,1.000,0.000,0.000,0.0000
16.800,37.345,1.000,0.000,0.000,0.0000
