type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,horizontalDisplacementM,fixedBench
Paddle,0.10,-0.27,-0.000,-0.000,-0.000,0.0059,0.0008,0.0000,0
Paddle,1.10,-4.27,-31.887,0.000,-3.649,0.0013,0.0242,0.0021,0
Paddle,2.20,-8.67,-600.016,-0.000,30.019,0.3602,0.0339,0.0262,0
Paddle,3.30,-13.07,-4271.712,-0.004,430.502,0.8226,1.2556,1.2548,0
Paddle,4.40,-15.00,-10612.161,-0.105,3061.113,0.8224,2.5972,2.5959,0
Paddle,5.50,-15.00,-0.000,-0.000,-0.000,0.0026,3.3008,3.2998,0
Paddle,6.60,-15.00,-0.000,-0.000,-0.000,0.0005,3.3005,3.2998,0
Paddle,7.70,-15.00,-0.000,-0.000,-0.000,0.0086,3.3002,3.2998,0
Paddle,8.70,-15.00,-0.000,-0.000,-0.000,0.0035,3.2973,3.2971,0
Paddle,9.70,-15.00,-0.000,-0.000,-0.000,0.0000,3.2969,3.2967,0
Paddle,10.70,-15.00,-0.000,-0.000,-0.000,0.0007,3.2969,3.2967,0
Paddle,11.70,-15.00,-0.000,-0.000,-0.000,0.0007,3.2969,3.2967,0
Paddle,12.70,-15.00,-0.000,-0.000,-0.000,0.0006,3.2969,3.2967,0
Paddle,13.70,-15.00,-0.000,-0.000,-0.000,0.0005,3.2969,3.2967,0
Paddle,14.70,-15.00,-0.000,-0.000,-0.000,0.0009,3.2969,3.2967,0
Paddle,15.70,-15.00,-0.000,-0.000,-0.000,0.0006,3.2970,3.2967,0
Paddle,16.80,-15.00,-0.000,-0.000,-0.000,0.0003,3.2970,3.2967,0
