"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","11.46","0.223","0.00","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"1.10","16.56","0.300","6.10","60000.000894","0.000000000","9280.000138","0.000000","0","0"
"2.20","14.44","0.300","33.70","60000.000894","0.000000000","7840.000117","0.000000","0","0"
"3.30","5.79","0.300","269.67","60000.000894","0.000000000","5240.000078","0.000000","0","0"
"4.40","8.73","0.300","156.40","60000.000894","0.000000000","3480.000052","0.000000","0","0"
"5.50","12.56","0.300","83.52","60000.000894","0.000000000","2440.000036","0.000000","0","0"
"6.60","13.91","0.298","65.12","60000.000894","0.000000000","1320.000020","0.000000","0","0"
"7.70","14.41","0.299","60.69","60000.000894","0.000000000","1000.000015","0.000000","0","0"
"8.70","13.47","0.300","66.26","60000.000894","0.000000000","500.000007","0.000000","0","0"
"9.70","14.25","0.299","54.39","60000.000894","0.000000000","340.000005","0.000000","0","0"
"10.70","11.93","0.298","115.95","60000.000894","0.000000000","240.000004","0.000000","0","0"
"11.70","13.77","0.299","63.59","60000.000894","0.000000000","160.000002","0.000000","0","0"
"12.70","13.04","0.292","71.21","60000.000894","0.000000000","80.000001","0.000000","0","0"
"13.70","15.68","0.300","13.15","60000.000894","0.000000000","40.000001","0.000000","0","0"
"14.70","14.02","0.300","40.83","60000.000894","0.000000000","0.000000","0.000000","0","0"
"15.70","14.62","0.297","37.92","60000.000894","0.000000000","0.000000","0.000000","0","0"
"16.80","16.00","0.298","8.24","60000.000894","0.000000000","0.000000","0.000000","0","0"
