t,worldT,fraction,draftN,tractionBudgetN,targetMps
0.100,0.502,1.000,0.000,70.632,0.0000
1.100,2.629,1.000,-31.507,65.667,0.0000
2.200,4.830,1.000,-168.095,66.232,0.0300
3.300,7.029,1.000,-1776.791,65.409,0.0300
4.400,9.296,1.000,-876.035,63.113,0.0300
5.500,11.498,1.000,-469.780,63.476,0.0300
6.600,13.703,1.000,-255.913,63.161,0.0300
7.700,15.905,1.000,-300.632,64.096,0.0000
8.700,17.908,1.000,-342.927,65.153,0.0000
9.700,19.909,1.000,-267.396,64.644,0.0000
10.700,21.959,1.000,-618.809,65.160,0.0000
11.700,23.977,1.000,-222.420,63.874,0.0000
12.700,25.979,1.000,-62.839,63.406,0.0000
13.700,28.045,1.000,-66.415,64.485,0.0000
14.700,30.045,1.000,-197.702,64.175,0.0000
15.700,32.109,1.000,-155.308,63.739,0.0000
16.800,34.313,1.000,-29.233,64.045,0.0000
