type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,horizontalDisplacementM,fixedBench
Paddle,0.10,-0.27,-0.000,-0.000,-0.000,0.0068,0.0010,0.0000,0
Paddle,1.10,-4.27,-31.507,-0.000,-3.901,0.0040,0.0245,0.0021,0
Paddle,2.20,-8.67,-168.095,0.001,46.947,0.0793,0.0474,0.0408,0
Paddle,3.30,-13.07,-1776.791,0.004,-10.637,0.0767,0.1721,0.1707,0
Paddle,4.40,-15.00,-876.035,-0.005,243.432,0.0516,0.2783,0.2775,0
Paddle,5.50,-15.00,-469.780,0.006,-109.994,0.0552,0.3590,0.3590,0
Paddle,6.60,-15.00,-263.506,-0.087,246.091,0.0657,0.4911,0.4911,0
Paddle,7.70,-15.00,-325.059,-0.057,379.569,0.0073,0.5556,0.5556,0
Paddle,8.70,-15.00,-344.494,0.602,208.308,0.0072,0.5806,0.5806,0
Paddle,9.70,-15.00,-267.405,1.455,116.935,0.0117,0.6095,0.6095,0
Paddle,10.70,-15.00,-619.252,-0.017,205.927,0.0088,0.6389,0.6389,0
Paddle,11.70,-15.00,-229.547,-0.130,502.822,0.0140,0.6627,0.6627,0
Paddle,12.70,-15.00,-62.878,-0.967,577.260,0.0019,0.6896,0.6896,0
Paddle,13.70,-15.00,-66.415,-1.155,14.693,0.0105,0.7134,0.7134,0
Paddle,14.70,-15.00,-197.702,0.143,0.310,0.0081,0.7420,0.7420,0
Paddle,15.70,-15.00,-155.308,2.928,18.021,0.0108,0.7685,0.7685,0
Paddle,16.80,-15.00,-30.119,1.555,34.040,0.0045,0.7989,0.7989,0
