"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","9.27","0.235","92.27","89.600001","0.000000000","0.000000","0.000000","0","0"
"1.10","12.34","0.300","95.25","89.600001","0.000000000","0.000000","0.000000","0","0"
"2.20","12.56","0.000","125.48","89.600001","0.000000000","0.000000","0.000000","0","0"
"3.30","15.96","0.189","16.79","89.600001","0.000000000","0.000000","0.000000","0","0"
"4.40","16.79","0.218","2.51","89.600001","0.000000000","0.000000","0.000000","0","0"
"5.50","17.06","0.201","2.43","89.600001","0.000000000","0.000000","0.000000","0","0"
"6.60","16.99","0.192","1.33","89.600001","0.000000000","0.000000","0.000000","0","0"
"7.70","17.12","0.204","1.80","89.600001","0.000000000","1.575000","1.575000","0","0"
"8.70","17.13","0.229","0.59","89.600001","0.000000000","4.200000","4.275000","0","0"
"9.70","2.53","0.268","566.70","89.600001","0.000000000","7.200000","7.400000","0","0"
"10.70","0.00","0.294","504.40","89.600001","0.000000000","9.800000","10.250000","0","0"
"11.70","0.00","0.300","504.03","89.600001","0.000000000","10.175000","10.975000","0","0"
"12.70","0.00","0.300","503.61","89.600001","0.000000000","9.950000","10.975000","0","0"
"13.70","0.00","0.300","503.11","89.600001","0.000000000","9.875000","10.975000","0","0"
"14.70","0.00","0.300","502.74","89.600001","0.000000000","9.725000","10.975000","0","0"
"15.70","0.00","0.300","502.30","89.600001","0.000000000","9.675000","10.975000","0","0"
"16.80","0.00","0.300","501.75","89.600001","0.000000000","9.625000","10.975000","0","0"
