t,fraction,draftN,tractionBudgetN,targetMps
0.100,1.000,-269.821,0.000,0.0000
1.100,1.000,413.866,0.000,0.0000
2.200,1.000,-17.955,0.000,0.0000
3.300,1.000,-13.854,0.000,0.0000
4.400,1.000,2.025,0.000,0.0000
5.500,1.000,5.878,0.000,0.0000
6.600,1.000,-3.256,0.000,0.0000
7.700,1.000,2.527,0.000,0.0000
8.700,1.000,-0.614,0.000,0.0000
9.700,1.000,-919.400,0.000,0.0000
10.700,1.000,-1102.765,0.000,0.0000
11.700,1.000,-1102.259,0.000,0.0000
12.700,1.000,-1103.259,0.000,0.0000
13.700,1.000,-1103.667,0.000,0.0000
14.700,1.000,-1104.183,0.000,0.0000
15.700,1.000,-1105.016,0.000,0.0000
16.800,1.000,-1106.810,0.000,0.0000
