type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,fixedBench
BucketWheel,0.10,0.00,-269.821,50.917,-503.251,0.0000,0.0000,1
BucketWheel,1.10,0.00,413.866,31.407,-390.160,0.0000,0.0000,1
BucketWheel,2.20,0.00,-17.955,23.294,741.049,0.0000,0.0000,1
BucketWheel,3.30,0.00,-13.854,-4.793,-39.130,0.0000,0.0000,1
BucketWheel,4.40,0.00,2.025,-0.597,-7.953,0.0000,0.0000,1
BucketWheel,5.50,0.00,5.878,0.951,-12.227,0.0000,0.0000,1
BucketWheel,6.60,0.00,-3.256,0.903,1.342,0.0000,0.0000,1
BucketWheel,7.70,0.00,2.527,1.381,-6.467,0.0000,0.0000,1
BucketWheel,8.70,0.00,-0.614,0.587,-1.414,0.0000,0.0000,1
BucketWheel,9.70,0.00,-919.400,154.739,-2627.690,0.0000,0.0000,1
BucketWheel,10.70,0.00,-1102.765,67.685,-2215.810,0.0000,0.0000,1
BucketWheel,11.70,0.00,-1102.259,70.892,-2214.472,0.0000,0.0000,1
BucketWheel,12.70,0.00,-1103.259,73.011,-2213.382,0.0000,0.0000,1
BucketWheel,13.70,0.00,-1103.667,74.868,-2211.596,0.0000,0.0000,1
BucketWheel,14.70,0.00,-1104.183,76.307,-2210.376,0.0000,0.0000,1
BucketWheel,15.70,0.00,-1105.016,77.789,-2209.013,0.0000,0.0000,1
BucketWheel,16.80,0.00,-1106.810,80.041,-2207.231,0.0000,0.0000,1
