"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","10.62","0.235","49.63","89.600001","0.000000000","0.000000","0.000000","0","0"
"1.10","14.58","0.300","44.33","89.600001","0.000000000","0.000000","0.000000","0","0"
"2.20","16.09","0.274","19.80","89.600001","0.000000000","0.000000","0.000000","0","0"
"3.30","16.91","0.222","2.85","89.600001","0.000000000","0.000000","0.000000","0","0"
"4.40","17.04","0.198","3.01","89.600001","0.000000000","0.000000","0.000000","0","0"
"5.50","17.07","0.197","2.21","89.600001","0.000000000","0.100000","0.100000","0","0"
"6.60","17.14","0.207","0.38","89.600001","0.000000000","2.025000","2.025000","0","0"
"7.70","17.16","0.221","0.28","89.600001","0.000000000","4.800000","4.800000","0","0"
"8.70","17.14","0.259","0.95","89.600001","0.000000000","8.200000","8.250000","0","0"
"9.70","15.37","0.297","64.96","89.600001","0.000000000","10.750000","10.950000","0","0"
"10.70","13.94","0.300","71.82","89.600001","0.000000000","10.525000","11.125000","0","0"
"11.70","14.11","0.300","62.63","89.600001","0.000000000","10.150000","11.125000","0","0"
"12.70","14.24","0.300","67.08","89.600001","0.000000000","9.950000","11.125000","0","0"
"13.70","14.51","0.300","57.05","89.600001","0.000000000","9.775000","11.125000","0","0"
"14.70","15.07","0.300","90.71","89.600001","0.000000000","9.725000","11.125000","0","0"
"15.70","16.66","0.300","21.30","89.600001","0.000000000","9.650000","11.125000","0","0"
"16.80","14.86","0.300","71.62","89.600001","0.000000000","9.650000","11.125000","0","0"
