t,fraction,draftN,tractionBudgetN,targetMps
0.100,1.000,-113.739,0.000,0.0000
1.100,1.000,2.116,0.000,0.0000
2.200,1.000,31.005,0.000,0.0000
3.300,1.000,10.389,0.000,0.0000
4.400,1.000,-9.404,0.000,0.0000
5.500,1.000,-5.569,0.000,0.0000
6.600,1.000,1.550,0.000,0.0000
7.700,1.000,-0.330,0.000,0.0000
8.700,1.000,-2.731,0.000,0.0000
9.700,1.000,-351.586,0.000,0.0000
10.700,1.000,-366.985,0.000,0.0000
11.700,1.000,-295.892,0.000,0.0000
12.700,1.000,-223.006,0.000,0.0000
13.700,1.000,-242.575,0.000,0.0000
14.700,1.000,-87.331,0.000,0.0000
15.700,1.000,2.094,0.000,0.0000
16.800,1.000,-166.994,0.000,0.0000
