type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,fixedBench
Chevron,0.10,0.00,-113.739,2.036,-296.050,0.0000,0.0000,1
Chevron,1.10,0.00,2.116,35.459,-241.733,0.0000,0.0000,1
Chevron,2.20,0.00,31.005,1.360,-58.585,0.0000,0.0000,1
Chevron,3.30,0.00,10.389,-0.622,1.294,0.0000,0.0000,1
Chevron,4.40,0.00,-9.404,0.487,-8.635,0.0000,0.0000,1
Chevron,5.50,0.00,-5.569,1.124,-6.327,0.0000,0.0000,1
Chevron,6.60,0.00,1.550,-0.828,-0.404,0.0000,0.0000,1
Chevron,7.70,0.00,-0.330,-0.849,-0.981,0.0000,0.0000,1
Chevron,8.70,0.00,-2.731,0.016,-3.260,0.0000,0.0000,1
Chevron,9.70,0.00,-351.586,-16.317,-164.270,0.0000,0.0000,1
Chevron,10.70,0.00,-366.985,-22.458,-198.976,0.0000,0.0000,1
Chevron,11.70,0.00,-295.892,-17.790,-187.020,0.0000,0.0000,1
Chevron,12.70,0.00,-223.006,-6.270,-288.437,0.0000,0.0000,1
Chevron,13.70,0.00,-242.575,25.866,-316.079,0.0000,0.0000,1
Chevron,14.70,0.00,-87.331,-44.186,-422.747,0.0000,0.0000,1
Chevron,15.70,0.00,2.094,22.548,-97.840,0.0000,0.0000,1
Chevron,16.80,0.00,-166.994,3.607,-364.561,0.0000,0.0000,1
