"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","12.19","0.235","-2.25","89.600001","0.000000000","0.000000","0.000000","0","0"
"1.10","16.23","0.300","19.96","89.600001","0.000000000","0.000000","0.000000","0","0"
"2.20","16.78","0.300","7.33","89.600001","0.000000000","0.000000","0.000000","0","0"
"3.30","16.62","0.300","10.70","89.600001","0.000000000","0.000000","0.000000","0","0"
"4.40","16.62","0.276","8.93","89.600001","0.000000000","0.000000","0.000000","0","0"
"5.50","17.15","0.265","0.12","89.600001","0.000000000","0.000000","0.000000","0","0"
"6.60","17.16","0.262","0.69","89.600001","0.000000000","0.000000","0.000000","0","0"
"7.70","16.39","0.247","14.92","89.600001","0.000000000","0.075000","0.075000","0","0"
"8.70","16.99","0.252","1.54","89.600001","0.000000000","0.875000","0.875000","0","0"
"9.70","17.19","0.265","0.00","89.600001","0.000000000","2.875000","2.875000","0","0"
"10.70","17.17","0.282","0.61","89.600001","0.000000000","5.100000","5.100000","0","0"
"11.70","17.04","0.298","3.90","89.600001","0.000000000","6.100000","6.150000","0","0"
"12.70","17.13","0.298","0.05","89.600001","0.000000000","6.150000","6.275000","0","0"
"13.70","17.19","0.296","0.00","89.600001","0.000000000","6.025000","6.275000","0","0"
"14.70","17.18","0.298","0.16","89.600001","0.000000000","5.950000","6.300000","0","0"
"15.70","16.94","0.299","2.87","89.600001","0.000000000","5.975000","6.350000","0","0"
"16.80","17.19","0.299","0.00","89.600001","0.000000000","5.950000","6.400000","0","0"
