t,worldT,fraction,draftN,tractionBudgetN,targetMps
0.100,0.299,1.000,-47.833,0.000,0.0000
1.100,1.689,1.000,-62.023,0.000,0.0000
2.200,3.341,1.000,-4.703,0.000,0.0000
3.300,4.990,1.000,-1.267,0.000,0.0000
4.400,6.650,1.000,-0.190,0.000,0.0000
5.500,8.299,1.000,-1.837,0.000,0.0000
6.600,9.941,1.000,-1.714,0.000,0.0000
7.700,11.593,1.000,-2.877,0.000,0.0000
8.700,13.114,1.000,-2.472,0.000,0.0000
9.700,14.661,1.000,-2.539,0.000,0.0000
10.700,16.249,1.000,-2.466,0.000,0.0000
11.700,17.826,1.000,-2.892,0.000,0.0000
12.700,19.416,1.000,-2.688,0.000,0.0000
13.700,21.010,1.000,-3.197,0.000,0.0000
14.700,22.603,1.000,-3.044,0.000,0.0000
15.700,24.187,1.000,-3.027,0.000,0.0000
16.800,25.937,1.000,-3.422,0.000,0.0000
