type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,horizontalDisplacementM,fixedBench
Helix,0.10,0.00,-47.833,10.213,-80.132,0.0000,0.0000,0.0000,1
Helix,1.10,0.00,-62.023,2.688,-16.352,0.0000,0.0000,0.0000,1
Helix,2.20,0.00,-4.703,7.118,-0.451,0.0000,0.0000,0.0000,1
Helix,3.30,0.00,-1.267,5.080,-0.959,0.0000,0.0000,0.0000,1
Helix,4.40,0.00,-0.190,3.778,-0.768,0.0000,0.0000,0.0000,1
Helix,5.50,0.00,-1.837,5.044,-0.828,0.0000,0.0000,0.0000,1
Helix,6.60,0.00,-1.714,8.787,-0.680,0.0000,0.0000,0.0000,1
Helix,7.70,0.00,-2.877,4.833,-0.571,0.0000,0.0000,0.0000,1
Helix,8.70,0.00,-2.472,2.736,0.115,0.0000,0.0000,0.0000,1
Helix,9.70,0.00,-2.539,2.695,-0.262,0.0000,0.0000,0.0000,1
Helix,10.70,0.00,-2.466,2.710,0.005,0.0000,0.0000,0.0000,1
Helix,11.70,0.00,-2.892,2.628,-0.186,0.0000,0.0000,0.0000,1
Helix,12.70,0.00,-2.688,2.668,-0.231,0.0000,0.0000,0.0000,1
Helix,13.70,0.00,-3.197,2.585,-0.077,0.0000,0.0000,0.0000,1
Helix,14.70,0.00,-3.044,2.558,-0.255,0.0000,0.0000,0.0000,1
Helix,15.70,0.00,-3.027,2.461,-0.278,0.0000,0.0000,0.0000,1
Helix,16.80,0.00,-3.422,2.411,-0.075,0.0000,0.0000,0.0000,1
