t,worldT,fraction,draftN,tractionBudgetN,targetMps
0.100,0.397,1.000,-41.496,0.000,0.0000
1.100,1.729,1.000,-20.867,0.000,0.0000
2.200,3.384,1.000,29.378,0.000,0.0000
3.300,5.043,1.000,39.923,0.000,0.0000
4.400,6.688,1.000,33.041,0.000,0.0000
5.500,8.343,1.000,0.549,0.000,0.0000
6.600,9.989,1.000,2.165,0.000,0.0000
7.700,11.649,1.000,34.485,0.000,0.0000
8.700,13.222,1.000,4.772,0.000,0.0000
9.700,14.820,1.000,0.000,0.000,0.0000
10.700,16.387,1.000,2.367,0.000,0.0000
11.700,17.886,1.000,13.749,0.000,0.0000
12.700,19.380,1.000,0.123,0.000,0.0000
13.700,20.859,1.000,-0.000,0.000,0.0000
14.700,22.325,1.000,0.045,0.000,0.0000
15.700,23.785,1.000,12.661,0.000,0.0000
16.800,25.387,1.000,0.000,0.000,0.0000
