type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,horizontalDisplacementM,fixedBench
Helix,0.10,0.00,-41.496,-7.030,-65.917,0.0000,0.0000,0.0000,1
Helix,1.10,0.00,-20.867,90.407,-9.121,0.0000,0.0000,0.0000,1
Helix,2.20,0.00,29.378,39.356,-4.524,0.0000,0.0000,0.0000,1
Helix,3.30,0.00,39.923,55.530,-6.151,0.0000,0.0000,0.0000,1
Helix,4.40,0.00,33.041,44.921,-4.798,0.0000,0.0000,0.0000,1
Helix,5.50,0.00,0.549,-0.640,0.669,0.0000,0.0000,0.0000,1
Helix,6.60,0.00,2.165,3.568,0.164,0.0000,0.0000,0.0000,1
Helix,7.70,0.00,34.485,26.468,68.562,0.0000,0.0000,0.0000,1
Helix,8.70,0.00,4.772,3.828,5.900,0.0000,0.0000,0.0000,1
Helix,9.70,0.00,-0.000,-0.000,-0.000,0.0000,0.0000,0.0000,1
Helix,10.70,0.00,2.367,2.999,0.625,0.0000,0.0000,0.0000,1
Helix,11.70,0.00,13.749,5.704,16.482,0.0000,0.0000,0.0000,1
Helix,12.70,0.00,0.123,-0.214,0.315,0.0000,0.0000,0.0000,1
Helix,13.70,0.00,-0.000,0.000,0.000,0.0000,0.0000,0.0000,1
Helix,14.70,0.00,0.045,0.876,-0.047,0.0000,0.0000,0.0000,1
Helix,15.70,0.00,12.661,8.291,12.098,0.0000,0.0000,0.0000,1
Helix,16.80,0.00,-0.000,-0.000,-0.000,0.0000,0.0000,0.0000,1
