"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","10.35","0.235","47.24","89.600001","0.000000000","0.000000","0.000000","0","0"
"1.10","14.02","0.300","52.11","89.600001","0.000000000","0.000000","0.000000","0","0"
"2.20","15.59","0.290","30.38","89.600001","0.000000000","0.000000","0.000000","0","0"
"3.30","16.48","0.223","14.27","89.600001","0.000000000","0.000000","0.000000","0","0"
"4.40","16.47","0.163","12.83","89.600001","0.000000000","0.000000","0.000000","0","0"
"5.50","17.13","0.166","0.50","89.600001","0.000000000","0.000000","0.000000","0","0"
"6.60","17.17","0.158","0.13","89.600001","0.000000000","0.000000","0.000000","0","0"
"7.70","17.15","0.174","0.41","89.600001","0.000000000","1.825000","1.825000","0","0"
"8.70","17.14","0.195","0.89","89.600001","0.000000000","4.175000","4.250000","0","0"
"9.70","16.58","0.201","18.75","89.600001","0.000000000","6.800000","7.200000","0","0"
"10.70","10.12","0.233","39.07","89.600001","0.000000000","10.275000","11.075000","0","0"
"11.70","10.34","0.288","157.79","89.600001","0.000000000","13.675000","14.825000","0","0"
"12.70","16.15","0.300","20.17","89.600001","0.000000000","14.075000","15.850000","0","0"
"13.70","11.87","0.300","19.29","89.600001","0.000000000","13.400000","15.850000","0","0"
"14.70","11.67","0.300","73.26","89.600001","0.000000000","13.100000","15.850000","0","0"
"15.70","16.54","0.300","13.43","89.600001","0.000000000","13.025000","15.850000","0","0"
"16.80","16.41","0.300","1.54","89.600001","0.000000000","12.925000","15.850000","0","0"
