t,fraction,draftN,tractionBudgetN,targetMps
0.100,1.000,-125.154,0.000,0.0000
1.100,1.000,100.542,0.000,0.0000
2.200,1.000,66.488,0.000,0.0000
3.300,1.000,25.040,0.000,0.0000
4.400,1.000,2.682,0.000,0.0000
5.500,1.000,-3.663,0.000,0.0000
6.600,1.000,-0.482,0.000,0.0000
7.700,1.000,-3.211,0.000,0.0000
8.700,1.000,1.699,0.000,0.0000
9.700,1.000,-53.023,0.000,0.0000
10.700,1.000,-372.103,0.000,0.0000
11.700,1.000,-860.136,0.000,0.0000
12.700,1.000,67.015,0.000,0.0000
13.700,1.000,-221.902,0.000,0.0000
14.700,1.000,-876.049,0.000,0.0000
15.700,1.000,26.763,0.000,0.0000
16.800,1.000,3.810,0.000,0.0000
