type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,fixedBench
Paddle,0.10,0.00,-125.154,30.894,-310.544,0.0000,0.0000,1
Paddle,1.10,0.00,100.542,21.110,-277.257,0.0000,0.0000,1
Paddle,2.20,0.00,66.488,-1.091,-74.643,0.0000,0.0000,1
Paddle,3.30,0.00,25.040,-0.250,23.998,0.0000,0.0000,1
Paddle,4.40,0.00,2.682,0.096,65.297,0.0000,0.0000,1
Paddle,5.50,0.00,-3.663,0.634,-1.528,0.0000,0.0000,1
Paddle,6.60,0.00,-0.482,0.273,-0.832,0.0000,0.0000,1
Paddle,7.70,0.00,-3.211,0.195,-1.207,0.0000,0.0000,1
Paddle,8.70,0.00,1.699,1.712,-4.318,0.0000,0.0000,1
Paddle,9.70,0.00,-53.023,47.850,-90.670,0.0000,0.0000,1
Paddle,10.70,0.00,-372.103,8.819,-9.927,0.0000,0.0000,1
Paddle,11.70,0.00,-860.136,2.257,-377.993,0.0000,0.0000,1
Paddle,12.70,0.00,67.015,37.055,-88.989,0.0000,0.0000,1
Paddle,13.70,0.00,-221.902,-1.378,-2.561,0.0000,0.0000,1
Paddle,14.70,0.00,-876.050,0.684,140.469,0.0000,0.0000,1
Paddle,15.70,0.00,26.763,23.863,-69.130,0.0000,0.0000,1
Paddle,16.80,0.00,3.810,3.105,-7.525,0.0000,0.0000,1
