"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","12.10","0.235","0.00","89.600001","0.000000000","0.000000","0.000000","0","0"
"1.10","16.00","0.300","22.72","89.600001","0.000000000","0.000000","0.000000","0","0"
"2.20","16.97","0.297","3.17","89.600001","0.000000000","0.000000","0.000000","0","0"
"3.30","17.05","0.299","2.65","89.600001","0.000000000","0.000000","0.000000","0","0"
"4.40","17.12","0.293","1.10","89.600001","0.000000000","0.000000","0.000000","0","0"
"5.50","17.11","0.296","1.15","89.600001","0.000000000","0.000000","0.000000","0","0"
"6.60","17.14","0.295","0.64","89.600001","0.000000000","0.050000","0.050000","0","0"
"7.70","17.15","0.294","0.61","89.600001","0.000000000","0.100000","0.100000","0","0"
"8.70","17.16","0.298","0.49","89.600001","0.000000000","0.350000","0.350000","0","0"
"9.70","17.16","0.298","0.66","89.600001","0.000000000","0.350000","0.350000","0","0"
"10.70","17.17","0.299","0.47","89.600001","0.000000000","0.400000","0.400000","0","0"
"11.70","17.17","0.300","0.36","89.600001","0.000000000","0.475000","0.475000","0","0"
"12.70","17.17","0.300","0.45","89.600001","0.000000000","0.475000","0.475000","0","0"
"13.70","17.17","0.299","0.37","89.600001","0.000000000","0.475000","0.475000","0","0"
"14.70","17.17","0.299","0.30","89.600001","0.000000000","0.475000","0.475000","0","0"
"15.70","17.18","0.299","0.31","89.600001","0.000000000","0.475000","0.475000","0","0"
"16.80","17.18","0.300","0.13","89.600001","0.000000000","0.500000","0.500000","0","0"
