"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","0.00","0.000","0.00","89.600001","0.000000000","0.000000","0.000000","0","0"
"1.10","-0.00","0.000","0.90","89.600001","0.000000000","0.000000","0.000000","0","0"
"2.20","-0.00","0.000","0.59","89.600001","0.000000000","0.000000","0.000000","0","0"
"3.30","-0.00","0.000","0.52","89.600001","0.000000000","0.000000","0.000000","0","0"
"4.40","-0.00","0.000","0.29","89.600001","0.000000000","0.000000","0.000000","0","0"
"5.50","-0.00","0.000","0.13","89.600001","0.000000000","0.000000","0.000000","0","0"
"6.60","-0.00","0.000","0.11","89.600001","0.000000000","0.000000","0.000000","0","0"
"7.70","-0.00","0.000","0.12","89.600001","0.000000000","0.000000","0.000000","0","0"
"8.70","-0.00","0.000","0.12","89.600001","0.000000000","0.000000","0.000000","0","0"
"9.70","-0.00","0.000","0.14","89.600001","0.000000000","0.000000","0.000000","0","0"
"10.70","-0.00","0.000","0.08","89.600001","0.000000000","0.000000","0.000000","0","0"
"11.70","-0.00","0.000","0.07","89.600001","0.000000000","0.000000","0.000000","0","0"
"12.70","-0.00","0.000","0.02","89.600001","0.000000000","0.000000","0.000000","0","0"
"13.70","-0.00","0.000","0.04","89.600001","0.000000000","0.000000","0.000000","0","0"
"14.70","-0.00","0.000","0.05","89.600001","0.000000000","0.000000","0.000000","0","0"
"15.70","-0.00","0.000","0.05","89.600001","0.000000000","0.000000","0.000000","0","0"
"16.80","-0.00","0.000","0.04","89.600001","0.000000000","0.000000","0.000000","0","0"
