t,worldT,fraction,draftN,tractionBudgetN,targetMps
0.100,0.392,1.000,0.000,0.000,0.0000
1.100,1.776,1.000,-25.334,0.000,0.0000
2.200,3.415,1.000,3.471,0.000,0.0000
3.300,5.068,1.000,1.541,0.000,0.0000
4.400,6.725,1.000,1.540,0.000,0.0000
5.500,8.382,1.000,1.056,0.000,0.0000
6.600,10.017,1.000,0.647,0.000,0.0000
7.700,11.679,1.000,0.428,0.000,0.0000
8.700,13.178,1.000,0.355,0.000,0.0000
9.700,14.706,1.000,0.405,0.000,0.0000
10.700,16.255,1.000,0.301,0.000,0.0000
11.700,17.812,1.000,0.043,0.000,0.0000
12.700,19.354,1.000,0.112,0.000,0.0000
13.700,20.918,1.000,0.055,0.000,0.0000
14.700,22.467,1.000,0.056,0.000,0.0000
15.700,24.023,1.000,0.043,0.000,0.0000
16.800,25.718,1.000,0.067,0.000,0.0000
