type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,horizontalDisplacementM,fixedBench
Spoke,0.10,0.00,-0.000,-0.000,-0.000,0.0000,0.0000,0.0000,1
Spoke,1.10,0.00,-25.334,4.416,-4.892,0.0000,0.0000,0.0000,1
Spoke,2.20,0.00,3.471,1.101,2.248,0.0000,0.0000,0.0000,1
Spoke,3.30,0.00,1.541,1.679,0.092,0.0000,0.0000,0.0000,1
Spoke,4.40,0.00,1.540,0.767,0.814,0.0000,0.0000,0.0000,1
Spoke,5.50,0.00,1.056,0.424,0.976,0.0000,0.0000,0.0000,1
Spoke,6.60,0.00,0.647,0.419,0.608,0.0000,0.0000,0.0000,1
Spoke,7.70,0.00,0.428,0.353,1.390,0.0000,0.0000,0.0000,1
Spoke,8.70,0.00,0.355,0.258,1.565,0.0000,0.0000,0.0000,1
Spoke,9.70,0.00,0.405,0.355,0.207,0.0000,0.0000,0.0000,1
Spoke,10.70,0.00,0.301,0.201,0.157,0.0000,0.0000,0.0000,1
Spoke,11.70,0.00,0.043,0.092,0.090,0.0000,0.0000,0.0000,1
Spoke,12.70,0.00,0.112,0.098,0.680,0.0000,0.0000,0.0000,1
Spoke,13.70,0.00,0.055,0.001,0.344,0.0000,0.0000,0.0000,1
Spoke,14.70,0.00,0.056,0.046,0.424,0.0000,0.0000,0.0000,1
Spoke,15.70,0.00,0.043,0.006,0.037,0.0000,0.0000,0.0000,1
Spoke,16.80,0.00,0.067,-0.031,-0.155,0.0000,0.0000,0.0000,1
