t,fraction,draftN,tractionBudgetN,targetMps
0.100,1.000,0.000,0.000,0.0000
1.100,1.000,-29.242,0.000,0.0000
2.200,1.000,3.065,0.000,0.0000
3.300,1.000,3.310,0.000,0.0000
4.400,1.000,2.386,0.000,0.0000
5.500,1.000,2.977,0.000,0.0000
6.600,1.000,1.898,0.000,0.0000
7.700,1.000,1.803,0.000,0.0000
8.700,1.000,1.640,0.000,0.0000
9.700,1.000,1.207,0.000,0.0000
10.700,1.000,0.875,0.000,0.0000
11.700,1.000,1.278,0.000,0.0000
12.700,1.000,1.193,0.000,0.0000
13.700,1.000,0.757,0.000,0.0000
14.700,1.000,0.118,0.000,0.0000
15.700,1.000,0.650,0.000,0.0000
16.800,1.000,0.429,0.000,0.0000
