type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,fixedBench
Spoke,0.10,0.00,-0.000,-0.000,-0.000,0.0000,0.0000,1
Spoke,1.10,0.00,-29.242,78.389,-26.085,0.0000,0.0000,1
Spoke,2.20,0.00,3.065,10.897,-1.180,0.0000,0.0000,1
Spoke,3.30,0.00,3.310,11.796,5.965,0.0000,0.0000,1
Spoke,4.40,0.00,2.386,6.165,1.315,0.0000,0.0000,1
Spoke,5.50,0.00,2.977,5.451,5.139,0.0000,0.0000,1
Spoke,6.60,0.00,1.898,3.723,1.446,0.0000,0.0000,1
Spoke,7.70,0.00,1.803,2.215,1.503,0.0000,0.0000,1
Spoke,8.70,0.00,1.640,2.277,-0.521,0.0000,0.0000,1
Spoke,9.70,0.00,1.207,3.095,0.087,0.0000,0.0000,1
Spoke,10.70,0.00,0.875,1.938,-0.024,0.0000,0.0000,1
Spoke,11.70,0.00,1.278,2.014,0.030,0.0000,0.0000,1
Spoke,12.70,0.00,1.193,1.759,0.010,0.0000,0.0000,1
Spoke,13.70,0.00,0.757,-0.063,0.472,0.0000,0.0000,1
Spoke,14.70,0.00,0.118,0.378,0.623,0.0000,0.0000,1
Spoke,15.70,0.00,0.650,1.319,-0.249,0.0000,0.0000,1
Spoke,16.80,0.00,0.429,0.415,0.547,0.0000,0.0000,1
