"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","10.17","0.223","49.17","60000.000894","0.000000000","8440.000126","0.000000","0","0"
"1.10","13.71","0.300","75.15","60000.000894","0.000000000","8120.000121","0.000000","0","0"
"2.20","16.60","0.291","4.40","60000.000894","0.000000000","7760.000116","0.000000","0","0"
"3.30","17.17","0.300","0.02","60000.000894","0.000000000","7620.000114","0.000000","0","0"
"4.40","17.19","0.300","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0"
"5.50","17.19","0.300","0.00","60000.000894","0.000000000","7980.000119","0.000000","0","0"
"6.60","17.19","0.300","0.00","60000.000894","0.000000000","7980.000119","0.000000","0","0"
"7.70","17.19","0.300","0.01","60000.000894","0.000000000","7640.000114","0.000000","0","0"
"8.70","16.88","0.300","11.83","60000.000894","0.000000000","7480.000111","0.000000","0","0"
"9.70","16.54","0.300","8.40","60000.000894","0.000000000","7200.000107","0.000000","0","0"
"10.70","16.72","0.300","0.17","60000.000894","0.000000000","6940.000103","0.000000","0","0"
"11.70","16.75","0.300","0.15","60000.000894","0.000000000","6753.400101","0.000000","0","0"
"12.70","16.10","0.300","2.13","60000.000894","0.000000000","6310.600094","0.000000","0","0"
"13.70","16.54","0.300","2.36","60000.000894","0.000000000","5980.000089","0.000000","0","0"
"14.70","15.80","0.300","15.78","60000.000894","0.000000000","5660.000084","0.000000","0","0"
"15.70","16.18","0.300","36.76","60000.000894","0.000000000","5280.000079","0.000000","0","0"
"16.80","15.41","0.300","61.16","60000.000894","0.000000000","4840.000072","0.000000","0","0"
