t,worldT,fraction,draftN,tractionBudgetN,targetMps
0.100,0.409,1.000,-272.364,0.000,0.0000
1.100,2.547,1.000,-394.948,0.000,0.0000
2.200,4.755,1.000,-21.039,0.000,0.0000
3.300,6.957,1.000,-0.101,0.000,0.0000
4.400,9.228,1.000,0.000,0.000,0.0000
5.500,11.427,1.000,-0.019,0.000,0.0000
6.600,13.700,1.000,0.000,0.000,0.0000
7.700,16.028,1.000,-0.067,0.000,0.0000
8.700,18.132,1.000,-54.526,0.000,0.0000
9.700,20.176,1.000,-46.862,0.000,0.0000
10.700,22.268,1.000,-0.682,0.000,0.0000
11.700,24.358,1.000,-0.667,0.000,0.0000
12.700,26.426,1.000,-9.577,0.000,0.0000
13.700,28.503,1.000,-7.512,0.000,0.0000
14.700,30.573,1.000,-84.579,0.000,0.0000
15.700,32.628,1.000,-192.052,0.000,0.0000
16.800,34.915,1.000,-348.905,0.000,0.0000
