type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,horizontalDisplacementM,fixedBench
Paddle,0.10,-8.00,-272.364,0.000,90.765,0.0077,0.0009,0.0006,0
Paddle,1.10,-8.00,-394.948,0.000,37.592,0.0024,0.0378,0.0302,0
Paddle,2.20,-8.00,-21.039,0.000,-7.684,0.0072,0.0582,0.0582,0
Paddle,3.30,-8.00,-0.100,-0.000,-0.035,0.0045,0.0784,0.0763,0
Paddle,4.40,-8.00,-0.000,-0.000,-0.000,0.0002,0.0791,0.0769,0
Paddle,5.50,-8.00,-0.020,0.000,0.016,0.0002,0.0791,0.0769,0
Paddle,6.60,-8.00,-0.000,-0.000,-0.000,0.0026,0.0783,0.0769,0
Paddle,7.70,-8.00,-0.067,0.000,-0.035,0.0033,0.0779,0.0775,0
Paddle,8.70,-8.00,-55.006,0.001,66.633,0.0149,0.0884,0.0881,0
Paddle,9.70,-8.00,-47.363,-0.002,90.520,0.0100,0.1096,0.1095,0
Paddle,10.70,-8.00,-0.685,-0.002,1.101,0.0089,0.1310,0.1310,0
Paddle,11.70,-8.00,-0.678,-0.000,0.894,0.0071,0.1549,0.1549,0
Paddle,12.70,-8.00,-9.577,-0.004,4.519,0.0042,0.1777,0.1777,0
Paddle,13.70,-8.00,-7.512,-0.009,8.945,0.0093,0.2052,0.2052,0
Paddle,14.70,-8.00,-84.579,-0.006,25.440,0.0132,0.2332,0.2332,0
Paddle,15.70,-8.00,-191.890,0.106,48.052,0.0009,0.2635,0.2634,0
Paddle,16.80,-8.00,-348.740,0.328,30.694,0.0084,0.2959,0.2958,0
