"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","10.17","0.223","49.19","60000.000894","0.000000000","8440.000126","0.000000","0","0"
"1.10","13.82","0.300","70.40","60000.000894","0.000000000","8120.000121","0.000000","0","0"
"2.20","16.57","0.299","1.95","60000.000894","0.000000000","7720.000115","0.000000","0","0"
"3.30","17.12","0.300","0.01","60000.000894","0.000000000","7400.000110","0.000000","0","0"
"4.40","16.44","0.300","19.62","60000.000894","0.000000000","7214.400108","0.000000","0","0"
"5.50","16.36","0.300","27.59","60000.000894","0.000000000","6900.000103","0.000000","0","0"
"6.60","15.54","0.299","12.30","60000.000894","0.000000000","6560.000098","0.000000","0","0"
"7.70","15.15","0.299","38.69","60000.000894","0.000000000","5812.800087","0.000000","0","0"
"8.70","16.86","0.298","5.05","60000.000894","0.000000000","5467.800081","0.000000","0","0"
"9.70","16.98","0.300","4.03","60000.000894","0.000000000","5409.600081","0.000000","0","0"
"10.70","17.09","0.300","0.00","60000.000894","0.000000000","5180.000077","0.000000","0","0"
"11.70","17.01","0.300","4.49","60000.000894","0.000000000","5080.000076","0.000000","0","0"
"12.70","16.57","0.300","21.25","60000.000894","0.000000000","4740.000071","0.000000","0","0"
"13.70","16.62","0.300","13.75","60000.000894","0.000000000","4393.200065","0.000000","0","0"
"14.70","16.47","0.297","5.27","60000.000894","0.000000000","4246.600063","0.000000","0","0"
"15.70","17.00","0.300","2.21","60000.000894","0.000000000","3989.800059","0.000000","0","0"
"16.80","17.14","0.300","0.59","60000.000894","0.000000000","4012.000060","0.000000","0","0"
