t,worldT,fraction,draftN,tractionBudgetN,targetMps
0.100,0.471,1.000,-272.523,69.938,0.0000
1.100,2.581,1.000,-357.845,68.696,0.0000
2.200,4.782,1.000,-11.481,68.061,0.0000
3.300,6.989,1.000,-0.059,64.634,0.0000
4.400,9.248,1.000,-102.781,64.587,0.0000
5.500,11.459,1.000,-132.601,66.819,0.0000
6.600,13.661,1.000,-117.346,66.245,0.0000
7.700,15.865,1.000,-328.518,67.201,0.0000
8.700,17.918,1.000,-30.839,68.403,0.0000
9.700,19.956,1.000,-22.335,65.268,0.0000
10.700,22.049,1.000,-0.004,64.113,0.0000
11.700,24.129,1.000,-11.724,63.676,0.0000
12.700,26.208,1.000,-101.328,63.572,0.0000
13.700,28.266,1.000,-81.309,65.315,0.0000
14.700,30.350,1.000,-25.792,64.636,0.0000
15.700,32.409,1.000,-11.719,65.215,0.0000
16.800,34.715,1.000,-3.623,69.198,0.0000
