type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,horizontalDisplacementM,fixedBench
Paddle,0.10,-8.00,-272.523,0.000,91.671,0.0081,0.0010,0.0007,0
Paddle,1.10,-8.00,-357.845,0.000,-8.365,0.0013,0.0382,0.0303,0
Paddle,2.20,-8.00,-11.481,-0.000,-0.703,0.0123,0.0637,0.0630,0
Paddle,3.30,-8.00,-0.059,-0.000,0.074,0.0069,0.0869,0.0858,0
Paddle,4.40,-8.00,-102.781,0.000,61.553,0.0137,0.1032,0.1029,0
Paddle,5.50,-8.00,-132.601,0.000,39.852,0.0101,0.1288,0.1288,0
Paddle,6.60,-8.00,-117.349,-0.001,76.428,0.0066,0.1578,0.1575,0
Paddle,7.70,-8.00,-325.226,0.544,103.749,0.0015,0.1907,0.1902,0
Paddle,8.70,-8.00,-30.932,0.059,-2.592,0.0028,0.2217,0.2216,0
Paddle,9.70,-8.00,-22.335,0.069,2.942,0.0046,0.2531,0.2530,0
Paddle,10.70,-8.00,-0.004,0.000,-0.000,0.0136,0.2756,0.2754,0
Paddle,11.70,-8.00,-12.073,0.030,35.539,0.0126,0.2903,0.2902,0
Paddle,12.70,-8.00,-101.524,-0.144,46.326,0.0101,0.3130,0.3130,0
Paddle,13.70,-8.00,-81.309,-0.153,3.903,0.0118,0.3404,0.3403,0
Paddle,14.70,-8.00,-25.972,-0.452,7.642,0.0006,0.3715,0.3715,0
Paddle,15.70,-8.00,-11.795,-0.581,2.824,0.0054,0.3930,0.3927,0
Paddle,16.80,-8.00,-3.641,-1.507,0.345,0.0086,0.4099,0.4097,0
