"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","-0.00","0.000","35.08","60000.000894","0.000000000","8440.000126","0.000000","0","0"
"1.10","-0.00","0.000","27.55","60000.000894","0.000000000","8480.000126","0.000000","0","0"
"2.20","0.00","0.000","-0.00","60000.000894","0.000000000","8380.000125","0.000000","0","0"
"3.30","0.00","0.000","-0.00","60000.000894","0.000000000","8360.000125","0.000000","0","0"
"4.40","0.00","0.000","-0.00","60000.000894","0.000000000","8370.000125","0.000000","0","0"
"5.50","0.00","0.000","-0.01","60000.000894","0.000000000","8380.000125","0.000000","0","0"
"6.60","0.00","0.000","-0.01","60000.000894","0.000000000","8380.000125","0.000000","0","0"
"7.70","0.00","0.000","-0.00","60000.000894","0.000000000","8400.000125","0.000000","0","0"
"8.70","-0.00","0.000","0.00","60000.000894","0.000000000","8400.000125","0.000000","0","0"
"9.70","-0.00","0.000","0.00","60000.000894","0.000000000","8400.000125","0.000000","0","0"
"10.70","-0.00","0.000","0.00","60000.000894","0.000000000","8400.000125","0.000000","0","0"
"11.70","-0.00","0.000","0.00","60000.000894","0.000000000","8400.000125","0.000000","0","0"
"12.70","0.00","0.000","0.00","60000.000894","0.000000000","8400.000125","0.000000","0","0"
"13.70","0.00","0.000","0.00","60000.000894","0.000000000","8400.000125","0.000000","0","0"
"14.70","-0.00","0.000","0.00","60000.000894","0.000000000","8400.000125","0.000000","0","0"
"15.70","-0.00","0.000","0.00","60000.000894","0.000000000","8400.000125","0.000000","0","0"
"16.80","0.00","0.000","0.00","60000.000894","0.000000000","8406.800125","0.000000","0","0"
