t,worldT,fraction,draftN,tractionBudgetN,targetMps
0.100,0.485,1.000,-193.871,69.938,0.0000
1.100,2.587,1.000,-168.951,64.869,0.0000
2.200,4.812,1.000,0.009,70.607,0.0000
3.300,7.021,1.000,0.010,70.632,0.0000
4.400,9.289,1.000,0.011,70.632,0.0000
5.500,11.558,1.000,0.022,70.632,0.0000
6.600,13.824,1.000,0.037,70.632,0.0000
7.700,16.100,1.000,0.007,70.632,0.0000
8.700,18.183,1.000,-0.000,70.632,0.0000
9.700,20.230,1.000,-0.000,70.632,0.0000
10.700,22.270,1.000,-0.000,70.632,0.0000
11.700,24.302,1.000,-0.000,70.632,0.0000
12.700,26.371,1.000,0.000,70.632,0.0000
13.700,28.425,1.000,0.000,70.632,0.0000
14.700,30.494,1.000,-0.000,70.632,0.0000
15.700,32.561,1.000,-0.000,70.632,0.0000
16.800,34.856,1.000,0.000,70.632,0.0000
