type,t,pitchDeg,rotorFxN,rotorFyN,rotorFzN,chassisSpeedMps,displacementM,horizontalDisplacementM,fixedBench
Paddle,0.10,-8.00,-193.871,0.000,80.010,0.0077,0.0010,0.0007,0
Paddle,1.10,-8.00,-168.951,0.000,59.501,0.0116,0.0183,0.0001,0
Paddle,2.20,-8.00,0.009,0.000,0.014,0.0112,0.0053,0.0046,0
Paddle,3.30,-8.00,0.010,0.000,0.017,0.0004,0.0121,0.0046,0
Paddle,4.40,-8.00,0.011,0.000,0.019,0.0021,0.0089,0.0046,0
Paddle,5.50,-8.00,0.022,0.000,0.044,0.0004,0.0062,0.0046,0
Paddle,6.60,-8.00,0.037,-0.000,0.075,0.0008,0.0055,0.0046,0
Paddle,7.70,-8.00,0.007,0.000,0.014,0.0007,0.0048,0.0046,0
Paddle,8.70,-8.00,-0.000,-0.000,-0.000,0.0007,0.0046,0.0046,0
Paddle,9.70,-8.00,-0.000,-0.000,0.000,0.0006,0.0048,0.0046,0
Paddle,10.70,-8.00,-0.000,-0.000,0.000,0.0004,0.0051,0.0046,0
Paddle,11.70,-8.00,-0.000,0.000,0.000,0.0002,0.0053,0.0046,0
Paddle,12.70,-8.00,-0.000,-0.000,-0.000,0.0004,0.0054,0.0046,0
Paddle,13.70,-8.00,-0.000,-0.000,-0.000,0.0008,0.0046,0.0046,0
Paddle,14.70,-8.00,-0.000,0.000,0.000,0.0005,0.0046,0.0046,0
Paddle,15.70,-8.00,-0.000,-0.000,0.000,0.0007,0.0049,0.0046,0
Paddle,16.80,-8.00,-0.000,-0.000,-0.000,0.0014,0.0059,0.0046,0
