"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","11.46","0.223","0.00","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"1.10","17.19","0.300","0.00","60000.000894","0.000000000","9785.600146","0.000000","0","0"
"2.20","17.17","0.300","-0.00","60000.000894","0.000000000","9433.800141","0.000000","0","0"
"3.30","16.81","0.300","19.54","60000.000894","0.000000000","9400.000140","0.000000","0","0"
"4.40","17.17","0.300","0.01","60000.000894","0.000000000","9480.000141","0.000000","0","0"
"5.50","16.95","0.300","0.02","60000.000894","0.000000000","9560.000142","0.000000","0","0"
"6.60","17.18","0.300","-0.00","60000.000894","0.000000000","9580.000143","0.000000","0","0"
"7.70","16.69","0.300","0.00","60000.000894","0.000000000","9480.000141","0.000000","0","0"
"8.70","17.10","0.300","0.02","60000.000894","0.000000000","9040.000135","0.000000","0","0"
"9.70","17.14","0.300","0.07","60000.000894","0.000000000","8620.000128","0.000000","0","0"
"10.70","17.18","0.300","0.02","60000.000894","0.000000000","8160.000122","0.000000","0","0"
"11.70","16.86","0.300","0.06","60000.000894","0.000000000","7888.200118","0.000000","0","0"
"12.70","17.14","0.300","0.00","60000.000894","0.000000000","7380.000110","0.000000","0","0"
"13.70","17.17","0.300","0.00","60000.000894","0.000000000","6820.000102","0.000000","0","0"
"14.70","17.05","0.300","4.18","60000.000894","0.000000000","6440.000096","0.000000","0","0"
"15.70","17.18","0.300","0.12","60000.000894","0.000000000","5520.000082","0.000000","0","0"
"16.80","17.16","0.300","0.14","60000.000894","0.000000000","5040.000075","0.000000","0","0"
