"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","11.46","0.223","0.00","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"1.10","16.55","0.300","6.17","60000.000894","0.000000000","9280.000138","0.000000","0","0"
"2.20","12.96","0.300","100.88","60000.000894","0.000000000","8640.000129","0.000000","0","0"
"3.30","0.00","0.300","786.49","60000.000894","0.000000000","22345.600333","0.000000","0","0"
"4.40","0.00","0.300","1377.67","60000.000894","0.000000000","38046.000567","0.000000","0","0"
"5.50","17.18","0.300","0.00","60000.000894","0.000000000","46443.200692","0.000000","0","0"
"6.60","17.19","0.300","0.00","60000.000894","0.000000000","46405.800692","0.000000","0","0"
"7.70","17.19","0.300","0.00","60000.000894","0.000000000","46386.000691","0.000000","0","0"
"8.70","17.19","0.300","0.00","60000.000894","0.000000000","46017.200686","0.000000","0","0"
"9.70","17.19","0.300","0.00","60000.000894","0.000000000","45957.600685","0.000000","0","0"
"10.70","17.19","0.300","0.00","60000.000894","0.000000000","46058.000686","0.000000","0","0"
"11.70","17.19","0.300","0.00","60000.000894","0.000000000","46157.600688","0.000000","0","0"
"12.70","17.19","0.300","0.00","60000.000894","0.000000000","46333.800690","0.000000","0","0"
"13.70","17.19","0.300","0.00","60000.000894","0.000000000","46348.000691","0.000000","0","0"
"14.70","17.19","0.300","0.00","60000.000894","0.000000000","46356.000691","0.000000","0","0"
"15.70","17.19","0.300","0.00","60000.000894","0.000000000","46357.600691","0.000000","0","0"
"16.80","17.19","0.300","0.00","60000.000894","0.000000000","46357.600691","0.000000","0","0"
