"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","11.46","0.223","0.00","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"1.10","16.61","0.300","0.01","60000.000894","0.000000000","9220.000137","0.000000","0","0"
"2.20","13.34","0.300","75.16","60000.000894","0.000000000","6380.000095","0.000000","0","0"
"3.30","7.58","0.299","184.37","60000.000894","0.000000000","3440.000051","0.000000","0","0"
"4.40","10.97","0.295","122.30","60000.000894","0.000000000","2360.000035","0.000000","0","0"
"5.50","15.99","0.297","17.52","60000.000894","0.000000000","1500.000022","0.000000","0","0"
"6.60","13.27","0.300","94.69","60000.000894","0.000000000","560.000008","0.000000","0","0"
"7.70","12.98","0.300","108.83","60000.000894","0.000000000","80.000001","0.000000","0","0"
"8.70","12.13","0.298","134.87","60000.000894","0.000000000","0.000000","0.000000","0","0"
"9.70","12.26","0.300","116.92","60000.000894","0.000000000","0.000000","0.000000","0","0"
"10.70","15.01","0.300","48.70","60000.000894","0.000000000","0.000000","0.000000","0","0"
"11.70","14.50","0.300","62.74","60000.000894","0.000000000","0.000000","0.000000","0","0"
"12.70","12.98","0.297","88.70","60000.000894","0.000000000","0.000000","0.000000","0","0"
"13.70","14.49","0.300","37.48","60000.000894","0.000000000","0.000000","0.000000","0","0"
"14.70","14.77","0.300","34.92","60000.000894","0.000000000","0.000000","0.000000","0","0"
"15.70","15.00","0.294","36.72","60000.000894","0.000000000","0.000000","0.000000","0","0"
"16.80","14.38","0.297","62.46","60000.000894","0.000000000","0.000000","0.000000","0","0"
