"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","11.52","0.235","24.99","89.600001","0.000000000","0.000000","0.000000","0","0"
"1.10","15.97","0.300","23.62","89.600001","0.000000000","0.000000","0.000000","0","0"
"2.20","16.57","0.300","12.63","89.600001","0.000000000","0.000000","0.000000","0","0"
"3.30","16.73","0.300","7.61","89.600001","0.000000000","0.000000","0.000000","0","0"
"4.40","17.19","0.300","0.02","89.600001","0.000000000","0.000000","0.000000","0","0"
"5.50","17.17","0.300","0.49","89.600001","0.000000000","0.000000","0.000000","0","0"
"6.60","17.00","0.300","3.24","89.600001","0.000000000","0.000000","0.000000","0","0"
"7.70","17.18","0.300","0.00","89.600001","0.000000000","0.000000","0.000000","0","0"
"8.70","17.17","0.300","0.16","89.600001","0.000000000","0.000000","0.000000","0","0"
"9.70","16.06","0.300","22.76","89.600001","0.000000000","0.000000","0.000000","0","0"
"10.70","17.19","0.300","0.00","89.600001","0.000000000","0.000000","0.000000","0","0"
"11.70","17.19","0.300","0.03","89.600001","0.000000000","0.000000","0.000000","0","0"
"12.70","17.17","0.300","0.18","89.600001","0.000000000","0.000000","0.000000","0","0"
"13.70","17.12","0.300","1.07","89.600001","0.000000000","0.000000","0.000000","0","0"
"14.70","17.19","0.300","0.00","89.600001","0.000000000","0.000000","0.000000","0","0"
"15.70","17.18","0.300","0.30","89.600001","0.000000000","0.000000","0.000000","0","0"
"16.80","16.87","0.300","1.95","89.600001","0.000000000","0.000000","0.000000","0","0"
