"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","-0.00","0.000","11.10","89.600001","0.000000000","0.000000","0.000000","0","0"
"1.10","-0.00","0.000","5.86","89.600001","0.000000000","0.000000","0.000000","0","0"
"2.20","-0.00","0.000","3.73","89.600001","0.000000000","0.000000","0.000000","0","0"
"3.30","-0.00","0.000","0.77","89.600001","0.000000000","0.000000","0.000000","0","0"
"4.40","-0.00","0.000","0.22","89.600001","0.000000000","0.000000","0.000000","0","0"
"5.50","-0.00","0.000","0.00","89.600001","0.000000000","0.000000","0.000000","0","0"
"6.60","-0.00","0.000","0.05","89.600001","0.000000000","0.000000","0.000000","0","0"
"7.70","-0.00","0.000","0.09","89.600001","0.000000000","0.000000","0.000000","0","0"
"8.70","-0.00","0.000","0.03","89.600001","0.000000000","0.000000","0.000000","0","0"
"9.70","-0.00","0.000","0.03","89.600001","0.000000000","0.000000","0.000000","0","0"
"10.70","-0.00","0.000","0.06","89.600001","0.000000000","0.000000","0.000000","0","0"
"11.70","-0.00","0.000","0.02","89.600001","0.000000000","0.000000","0.000000","0","0"
"12.70","-0.00","0.000","0.03","89.600001","0.000000000","0.000000","0.000000","0","0"
"13.70","-0.00","0.000","0.03","89.600001","0.000000000","0.000000","0.000000","0","0"
"14.70","-0.00","0.000","0.03","89.600001","0.000000000","0.000000","0.000000","0","0"
"15.70","-0.00","0.000","0.03","89.600001","0.000000000","0.000000","0.000000","0","0"
"16.80","-0.00","0.000","0.03","89.600001","0.000000000","0.000000","0.000000","0","0"
