"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","10.17","0.223","49.17","60000.000894","0.000000000","8440.000126","0.000000","0","0"
"1.10","13.71","0.300","75.15","60000.000894","0.000000000","8120.000121","0.000000","0","0"
"2.20","16.60","0.291","4.40","60000.000894","0.000000000","7760.000116","0.000000","0","0"
"3.30","17.17","0.300","0.02","60000.000894","0.000000000","7620.000114","0.000000","0","0"
"4.40","17.19","0.300","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0"
"5.50","17.19","0.300","0.00","60000.000894","0.000000000","7980.000119","0.000000","0","0"
"6.60","17.19","0.300","0.00","60000.000894","0.000000000","7980.000119","0.000000","0","0"
"7.70","17.19","0.300","0.01","60000.000894","0.000000000","7640.000114","0.000000","0","0"
"8.70","16.87","0.300","11.94","60000.000894","0.000000000","7480.000111","0.000000","0","0"
"9.70","16.53","0.300","7.52","60000.000894","0.000000000","7190.400107","0.000000","0","0"
"10.70","16.70","0.300","0.15","60000.000894","0.000000000","6937.800103","0.000000","0","0"
"11.70","16.76","0.300","0.13","60000.000894","0.000000000","6740.000100","0.000000","0","0"
"12.70","16.13","0.300","1.52","60000.000894","0.000000000","6320.000094","0.000000","0","0"
"13.70","16.58","0.300","1.20","60000.000894","0.000000000","6016.800090","0.000000","0","0"
"14.70","15.29","0.300","28.45","60000.000894","0.000000000","5683.600085","0.000000","0","0"
"15.70","16.50","0.300","4.88","60000.000894","0.000000000","5305.600079","0.000000","0","0"
"16.80","16.08","0.300","30.02","60000.000894","0.000000000","4840.000072","0.000000","0","0"
