"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.425","1.000","-272.364","0.000","0.0000"
"1.100","2.568","1.000","-394.950","0.000","0.0000"
"2.200","4.767","1.000","-21.040","0.000","0.0000"
"3.300","6.968","1.000","-0.101","0.000","0.0000"
"4.400","9.266","1.000","0.000","0.000","0.0000"
"5.500","11.597","1.000","-0.019","0.000","0.0000"
"6.600","13.934","1.000","0.000","0.000","0.0000"
"7.700","16.282","1.000","-0.067","0.000","0.0000"
"8.700","18.401","1.000","-55.032","0.000","0.0000"
"9.700","20.499","1.000","-42.320","0.000","0.0000"
"10.700","22.585","1.000","-0.598","0.000","0.0000"
"11.700","24.695","1.000","-0.598","0.000","0.0000"
"12.700","26.771","1.000","-0.986","0.000","0.0000"
"13.700","28.869","1.000","-3.983","0.000","0.0000"
"14.700","30.975","1.000","-151.664","0.000","0.0000"
"15.700","33.055","1.000","-13.911","0.000","0.0000"
"16.800","35.369","1.000","-167.198","0.000","0.0000"
