"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","fixedBench"
"Paddle","0.10","-8.00","-272.364","0.000","90.765","0.0077","0.0009","0.0006","0"
"Paddle","1.10","-8.00","-394.950","0.000","37.597","0.0024","0.0378","0.0302","0"
"Paddle","2.20","-8.00","-21.040","0.000","-7.685","0.0072","0.0582","0.0582","0"
"Paddle","3.30","-8.00","-0.100","0.000","-0.035","0.0045","0.0784","0.0763","0"
"Paddle","4.40","-8.00","-0.000","-0.000","-0.000","0.0002","0.0791","0.0769","0"
"Paddle","5.50","-8.00","-0.020","-0.000","0.016","0.0002","0.0791","0.0769","0"
"Paddle","6.60","-8.00","-0.000","-0.000","-0.000","0.0025","0.0783","0.0769","0"
"Paddle","7.70","-8.00","-0.067","-0.000","-0.035","0.0034","0.0780","0.0776","0"
"Paddle","8.70","-8.00","-55.576","-0.006","67.123","0.0132","0.0882","0.0879","0"
"Paddle","9.70","-8.00","-42.674","0.001","82.163","0.0097","0.1095","0.1095","0"
"Paddle","10.70","-8.00","-0.601","-0.000","1.001","0.0098","0.1301","0.1301","0"
"Paddle","11.70","-8.00","-0.607","0.000","0.800","0.0071","0.1543","0.1543","0"
"Paddle","12.70","-8.00","-0.987","0.003","14.622","0.0042","0.1773","0.1773","0"
"Paddle","13.70","-8.00","-3.984","-0.004","10.545","0.0082","0.2037","0.2037","0"
"Paddle","14.70","-8.00","-151.664","-0.805","58.442","0.0123","0.2321","0.2320","0"
"Paddle","15.70","-8.00","-13.910","-0.003","14.376","0.0039","0.2626","0.2626","0"
"Paddle","16.80","-8.00","-167.194","-1.876","1.374","0.0067","0.2957","0.2957","0"
