"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","10.17","0.223","49.19","60000.000894","0.000000000","8440.000126","0.000000","0","0"
"1.10","15.03","0.300","44.77","60000.000894","0.000000000","6785.200101","0.000000","0","0"
"2.20","16.77","0.300","0.08","60000.000894","0.000000000","5400.000080","0.000000","0","0"
"3.30","17.07","0.300","1.80","60000.000894","0.000000000","5000.000075","0.000000","0","0"
"4.40","15.56","0.300","24.31","60000.000894","0.000000000","3355.400050","0.000000","0","0"
"5.50","15.13","0.300","45.04","60000.000894","0.000000000","1680.000025","0.000000","0","0"
"6.60","15.89","0.300","17.64","60000.000894","0.000000000","303.400005","0.000000","0","0"
"7.70","17.08","0.300","0.44","60000.000894","0.000000000","0.000000","0.000000","0","0"
"8.70","17.07","0.300","0.00","60000.000894","0.000000000","0.000000","0.000000","0","0"
"9.70","16.85","0.300","13.31","60000.000894","0.000000000","0.000000","0.000000","0","0"
"10.70","16.76","0.300","10.70","60000.000894","0.000000000","0.000000","0.000000","0","0"
"11.70","16.91","0.300","5.39","60000.000894","0.000000000","0.000000","0.000000","0","0"
"12.70","16.26","0.300","26.49","60000.000894","0.000000000","0.000000","0.000000","0","0"
"13.70","15.79","0.300","27.13","60000.000894","0.000000000","0.000000","0.000000","0","0"
"14.70","16.13","0.300","13.00","60000.000894","0.000000000","0.000000","0.000000","0","0"
"15.70","16.11","0.300","29.21","60000.000894","0.000000000","0.000000","0.000000","0","0"
"16.80","15.64","0.300","55.37","60000.000894","0.000000000","0.000000","0.000000","0","0"
