"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.469","1.000","-272.523","69.938","0.0000"
"1.100","2.580","1.000","-269.527","67.134","0.0000"
"2.200","4.789","1.000","-0.506","66.712","0.0000"
"3.300","6.987","1.000","-9.653","66.247","0.0000"
"4.400","9.287","1.000","-76.302","63.540","0.0000"
"5.500","11.524","1.000","-273.030","63.651","0.0000"
"6.600","13.795","1.000","-119.564","64.290","0.0000"
"7.700","16.065","1.000","-2.867","68.150","0.0000"
"8.700","18.128","1.000","0.000","69.041","0.0000"
"9.700","20.227","1.000","-62.836","68.610","0.0000"
"10.700","22.334","1.000","-52.950","66.184","0.0000"
"11.700","24.425","1.000","-29.472","67.866","0.0000"
"12.700","26.499","1.000","-104.771","66.903","0.0000"
"13.700","28.564","1.000","-163.716","65.347","0.0000"
"14.700","30.663","1.000","-96.988","65.595","0.0000"
"15.700","32.771","1.000","-139.930","65.068","0.0000"
"16.800","35.052","1.000","-308.264","65.295","0.0000"
