"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","fixedBench"
"Paddle","0.10","-8.00","-272.523","0.000","91.671","0.0167","0.0013","0.0011","0"
"Paddle","1.10","-8.00","-269.527","0.000","100.755","0.1034","0.1440","0.1423","0"
"Paddle","2.20","-8.00","-0.508","-0.000","0.022","0.0548","0.3102","0.3101","0"
"Paddle","3.30","-8.00","-9.923","0.001","3.091","0.0194","0.3588","0.3588","0"
"Paddle","4.40","-8.00","-77.812","-0.141","119.846","0.0665","0.4360","0.4360","0"
"Paddle","5.50","-8.00","-279.671","0.091","300.970","0.0743","0.5830","0.5830","0"
"Paddle","6.60","-8.00","-121.860","0.019","85.582","0.0929","0.7204","0.7204","0"
"Paddle","7.70","-8.00","-2.881","0.001","0.065","0.0818","0.8633","0.8633","0"
"Paddle","8.70","-8.00","-0.000","-0.000","-0.000","0.0720","0.9703","0.9703","0"
"Paddle","9.70","-8.00","-65.703","-0.003","31.098","0.0845","1.0908","1.0908","0"
"Paddle","10.70","-8.00","-56.096","-0.043","30.976","0.0735","1.2172","1.2172","0"
"Paddle","11.70","-8.00","-30.570","0.006","9.671","0.0029","1.2936","1.2936","0"
"Paddle","12.70","-8.00","-106.683","-0.241","64.908","0.0011","1.2979","1.2979","0"
"Paddle","13.70","-8.00","-163.758","-0.351","74.820","0.0090","1.3000","1.3000","0"
"Paddle","14.70","-8.00","-96.992","-0.198","96.892","0.0102","1.3000","1.3000","0"
"Paddle","15.70","-8.00","-139.962","-0.344","72.072","0.0088","1.3000","1.3000","0"
"Paddle","16.80","-8.00","-308.345","-0.341","116.143","0.0080","1.3000","1.2999","0"
