"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","-0.00","0.000","35.08","60000.000894","0.000000000","8440.000126","0.000000","0","0"
"1.10","0.00","-0.000","-54.44","60000.000894","0.000000000","8280.000123","0.000000","0","0"
"2.20","-0.00","0.000","40.85","60000.000894","0.000000000","8580.000128","0.000000","0","0"
"3.30","-0.00","0.000","0.64","60000.000894","0.000000000","8380.000125","0.000000","0","0"
"4.40","0.00","0.000","-10.44","60000.000894","0.000000000","8200.000122","0.000000","0","0"
"5.50","-0.00","0.000","15.53","60000.000894","0.000000000","8440.000126","0.000000","0","0"
"6.60","-0.00","0.000","55.65","60000.000894","0.000000000","8440.000126","0.000000","0","0"
"7.70","0.00","0.000","-22.16","60000.000894","0.000000000","8164.800122","0.000000","0","0"
"8.70","0.00","0.000","-17.64","60000.000894","0.000000000","8360.000125","0.000000","0","0"
"9.70","-0.00","0.000","55.38","60000.000894","0.000000000","8600.000128","0.000000","0","0"
"10.70","-0.00","0.000","57.67","60000.000894","0.000000000","8540.000127","0.000000","0","0"
"11.70","0.00","0.000","-15.93","60000.000894","0.000000000","8200.000122","0.000000","0","0"
"12.70","0.00","0.000","-15.39","60000.000894","0.000000000","8200.000122","0.000000","0","0"
"13.70","-0.00","0.000","19.95","60000.000894","0.000000000","8460.000126","0.000000","0","0"
"14.70","-0.00","0.000","39.44","60000.000894","0.000000000","8600.000128","0.000000","0","0"
"15.70","0.00","0.000","-14.44","60000.000894","0.000000000","8280.000123","0.000000","0","0"
"16.80","0.00","0.000","-31.20","60000.000894","0.000000000","8200.000122","0.000000","0","0"
