"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.481","1.000","-193.871","69.938","0.0000"
"1.100","2.577","1.000","136.228","63.671","0.0000"
"2.200","4.778","1.000","-227.885","70.193","0.0000"
"3.300","6.982","1.000","-4.792","68.092","0.0000"
"4.400","9.267","1.000","75.783","66.966","0.0000"
"5.500","11.517","1.000","-84.458","68.953","0.0000"
"6.600","13.783","1.000","-300.501","67.638","0.0000"
"7.700","16.081","1.000","123.984","69.787","0.0000"
"8.700","18.147","1.000","99.325","70.385","0.0000"
"9.700","20.244","1.000","-301.458","69.056","0.0000"
"10.700","22.323","1.000","-311.460","67.260","0.0000"
"11.700","24.394","1.000","88.260","68.966","0.0000"
"12.700","26.512","1.000","85.663","70.416","0.0000"
"13.700","28.628","1.000","-112.788","70.077","0.0000"
"14.700","30.745","1.000","-215.601","68.164","0.0000"
"15.700","32.869","1.000","82.755","66.633","0.0000"
"16.800","35.205","1.000","173.694","67.316","0.0000"
