"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","fixedBench"
"Paddle","0.10","-8.00","-193.871","0.000","80.010","0.0168","0.0012","0.0010","0"
"Paddle","1.10","-8.00","136.228","-0.000","346.203","0.0181","0.0265","0.0180","0"
"Paddle","2.20","-8.00","-227.885","0.000","8.993","0.0302","0.0112","0.0110","0"
"Paddle","3.30","-8.00","-4.792","0.000","1.850","0.0325","0.0151","0.0034","0"
"Paddle","4.40","-8.00","75.783","0.001","110.450","0.0165","0.0243","0.0225","0"
"Paddle","5.50","-8.00","-84.458","0.000","10.329","0.0874","0.0058","0.0013","0"
"Paddle","6.60","-8.00","-300.501","-0.004","121.306","0.0827","0.0026","0.0000","0"
"Paddle","7.70","-8.00","123.984","-0.000","4.079","0.0147","0.0254","0.0253","0"
"Paddle","8.70","-8.00","99.325","0.002","0.641","0.0958","0.0072","0.0071","0"
"Paddle","9.70","-8.00","-301.458","-0.003","119.151","0.0389","0.0145","0.0143","0"
"Paddle","10.70","-8.00","-311.460","-0.025","176.377","0.0603","0.0085","0.0079","0"
"Paddle","11.70","-8.00","88.260","-0.004","-5.597","0.0834","0.0212","0.0212","0"
"Paddle","12.70","-8.00","85.663","-0.003","-4.018","0.0436","0.0233","0.0233","0"
"Paddle","13.70","-8.00","-112.788","0.011","22.662","0.1022","0.0025","0.0016","0"
"Paddle","14.70","-8.00","-215.601","0.004","73.988","0.0324","0.0111","0.0110","0"
"Paddle","15.70","-8.00","82.755","-0.006","-1.705","0.1023","0.0172","0.0171","0"
"Paddle","16.80","-8.00","173.694","0.119","71.545","0.0601","0.0225","0.0223","0"
