"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Blade","0.600","60.0","0.100","0.000","-85.7191","139.7842","0.00000","0.0000","921.599801","0.000000000","0.01166","0.19991","1.77500","0"
"Blade","1.100","60.0","0.100","0.050","-27.6856","90.9316","-0.34584","69.1680","921.599801","0.000000000","0.01192","0.19993","1.77500","0"
"Blade","1.700","60.0","0.100","0.050","63.0991","-9.4193","2.34079","86.9685","921.599801","0.000000000","0.00974","0.20001","1.77500","0"
"Blade","2.300","60.0","0.100","0.050","101.0354","-11.0162","6.26328","107.1752","921.599801","0.000000000","0.00355","0.20007","1.77500","0"
"Blade","2.900","60.0","0.100","0.050","241.2627","32.5709","11.71436","130.7103","921.599801","0.000000000","0.00444","0.20014","1.77500","0"
"Blade","3.500","60.0","0.100","0.050","258.5882","20.2696","17.96181","149.3194","921.599801","0.000000000","0.02985","0.20024","1.77500","0"
"Blade","4.100","60.0","0.100","0.050","208.7632","-18.9637","24.34146","161.5780","921.599801","0.000000000","0.01846","0.20036","1.77500","0"
"Blade","4.700","60.0","0.100","0.050","169.9352","-15.9286","30.94611","171.0770","921.599801","0.000000000","0.01096","0.20048","1.77500","0"
"Blade","5.300","60.0","0.100","0.050","196.1999","-15.0070","38.01634","180.0906","921.599801","0.000000000","0.00833","0.20059","1.77500","0"
"Blade","5.900","60.0","0.100","0.050","327.0198","14.8800","45.92460","190.3173","921.599801","0.000000000","0.01233","0.20069","1.77500","0"
"Blade","6.500","60.0","0.100","0.050","331.6473","5.0837","54.39608","200.3608","921.599801","0.000000000","0.03124","0.20083","1.77500","0"
"Blade","7.100","60.0","0.100","0.050","269.5449","-34.1456","62.87940","208.4674","921.599801","0.000000000","0.02296","0.20097","1.77500","0"
"Blade","7.700","60.0","0.100","0.050","221.5517","-22.7322","71.31557","214.9813","921.599801","0.000000000","0.01264","0.20109","1.77500","0"
"Blade","8.200","60.0","0.100","0.000","189.3481","-14.9908","76.59062","214.7049","921.599801","0.000000000","0.00266","0.20117","1.77500","0"
