"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","0.2190","2.0284","0.00000","0.0000","921.600000","0.000000000","0.00093","0.20000","1.77500","0"
"Blade","0.600","60.0","0.100","0.000","-30.5277","46.4420","0.00000","0.0000","921.600000","0.000000000","0.00254","0.20000","1.77500","0"
"Blade","1.100","60.0","0.100","0.050","3.9823","24.2914","0.00878","19.6881","921.600000","0.000000000","0.01691","0.19996","1.77500","0"
"Blade","1.700","60.0","0.100","0.050","127.4583","-6.5558","2.75173","81.1826","921.600000","0.000000000","0.01415","0.20000","1.77500","0"
"Blade","2.300","60.0","0.100","0.050","172.2359","-12.6973","6.18699","96.5639","921.600000","0.000000000","0.00194","0.20004","1.77500","0"
"Blade","2.900","60.0","0.100","0.050","185.5183","-23.2265","10.07592","107.0062","921.600000","0.000000000","0.00354","0.20009","1.77500","0"
"Blade","3.500","60.0","0.100","0.050","200.3216","-32.8942","14.51610","116.8461","921.600000","0.000000000","0.00559","0.20015","1.77500","0"
"Blade","4.100","60.0","0.100","0.050","205.4030","-45.5283","19.35678","125.4610","921.600000","0.000000000","0.00806","0.20022","1.77500","0"
"Blade","4.700","60.0","0.100","0.050","205.7332","-49.5453","24.51809","133.0149","921.600000","0.000000000","0.00757","0.20028","1.77500","0"
"Blade","5.300","60.0","0.100","0.050","203.9069","-47.2206","30.01126","140.0044","921.600000","0.000000000","0.00797","0.20035","1.77500","0"
"Blade","5.900","60.0","0.100","0.050","220.5886","-53.5052","35.76017","146.3260","921.600000","0.000000000","0.02549","0.20041","1.77500","0"
"Blade","6.500","60.0","0.100","0.050","209.6605","-50.9921","41.64925","151.7780","921.600000","0.000000000","0.00931","0.20048","1.77500","0"
"Blade","7.100","60.0","0.100","0.050","213.7741","-49.0422","47.72016","156.7536","921.600000","0.000000000","0.01234","0.20054","1.77500","0"
"Blade","7.700","60.0","0.100","0.050","226.1721","-40.0616","53.95316","161.3220","921.600000","0.000000000","0.01433","0.20061","1.77500","0"
"Blade","8.200","60.0","0.100","0.000","43.7857","-24.4820","57.48644","159.9337","921.600000","0.000000000","0.00350","0.20063","1.77500","0"
