"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","90.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Blade","0.600","90.0","0.100","0.000","-74.8948","84.9080","0.00000","0.0000","921.599801","0.000000000","0.01755","0.19995","1.77500","0"
"Blade","1.100","90.0","0.100","0.050","112.1668","26.7611","-0.19922","114.6225","921.599801","0.000000000","0.03171","0.19994","1.77500","0"
"Blade","1.700","90.0","0.100","0.050","215.1833","46.0062","3.12237","111.4272","921.599801","0.000000000","0.00539","0.19995","1.77500","0"
"Blade","2.300","90.0","0.100","0.050","294.3768","79.5044","7.38001","125.6097","921.599801","0.000000000","0.01054","0.19996","1.77500","0"
"Blade","2.900","90.0","0.100","0.050","0.7523","-5.6266","10.99268","124.0392","921.599801","0.000000000","0.04124","0.19999","1.77500","0"
"Blade","3.500","90.0","0.100","0.050","20.8023","1.4045","14.89979","125.5266","921.599801","0.000000000","0.00396","0.20001","1.77500","0"
"Blade","4.100","90.0","0.100","0.050","182.4316","25.7358","19.50048","130.9131","921.599801","0.000000000","0.04320","0.20002","1.77500","0"
"Blade","4.700","90.0","0.100","0.050","382.6884","95.1301","25.59973","142.6529","921.599801","0.000000000","0.03334","0.20002","1.77500","0"
"Blade","5.300","90.0","0.100","0.050","425.4489","125.5325","32.54943","155.0720","921.599801","0.000000000","0.02284","0.20004","1.77500","0"
"Blade","5.900","90.0","0.100","0.050","33.6132","-15.2101","38.18231","159.0750","921.599801","0.000000000","0.04829","0.20008","1.77500","0"
"Blade","6.500","90.0","0.100","0.050","52.6096","-0.6427","43.84984","162.3306","921.599801","0.000000000","0.00767","0.20010","1.77500","0"
"Blade","7.100","90.0","0.100","0.050","237.1659","24.8632","50.21263","167.2253","921.599801","0.000000000","0.08351","0.20009","1.77500","0"
"Blade","7.700","90.0","0.100","0.050","468.9952","102.6305","58.13586","175.9013","921.599801","0.000000000","0.05572","0.20007","1.77500","0"
"Blade","8.200","90.0","0.100","0.000","-40.0019","-27.2140","61.53008","173.1143","921.599801","0.000000000","0.01143","0.20007","1.77500","0"
