"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Idle","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00008","0.19999","1.75000","0"
"Idle","0.600","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00008","0.19995","1.75000","0"
"Idle","1.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00008","0.19991","1.75000","0"
"Idle","1.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00014","0.19985","1.75000","0"
"Idle","2.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00013","0.19979","1.75000","0"
"Idle","2.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00013","0.19972","1.75000","0"
"Idle","3.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00012","0.19966","1.75000","0"
"Idle","4.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00011","0.19960","1.75000","0"
"Idle","4.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00010","0.19955","1.75000","0"
"Idle","5.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00010","0.19949","1.75000","0"
"Idle","5.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00009","0.19944","1.75000","0"
"Idle","6.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00008","0.19939","1.75000","0"
"Idle","7.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00007","0.19934","1.75000","0"
"Idle","7.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00007","0.19929","1.75000","0"
"Idle","8.200","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599962","0.000000000","0.00006","0.19925","1.75000","0"
