"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","4.11760","0.18895","0.69858","0"
"Blade","0.600","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","2.2250","179.200003","0.000000000","1.26959","0.13068","0.87186","0"
"Blade","1.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.2225","179.200003","0.000000000","0.12904","0.11163","0.94332","0"
"Blade","1.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0318","179.200003","0.000000000","0.02018","0.10448","0.98244","0"
"Blade","2.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0171","179.200003","0.000000000","0.00461","0.10162","1.00332","0"
"Blade","2.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0117","179.200003","0.000000000","0.00177","0.10017","1.01647","0"
"Blade","3.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0089","179.200003","0.000000000","0.00100","0.09924","1.02581","0"
"Blade","4.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0072","179.200003","0.000000000","0.00066","0.09854","1.03437","0"
"Blade","4.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0060","179.200003","0.000000000","0.00045","0.09798","1.04191","0"
"Blade","5.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0052","179.200003","0.000000000","0.00030","0.09752","1.04758","0"
"Blade","5.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0045","179.200003","0.000000000","0.00021","0.09714","1.05192","0"
"Blade","6.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0040","179.200003","0.000000000","0.00015","0.09681","1.05571","0"
"Blade","7.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0036","179.200003","0.000000000","0.00012","0.09654","1.05906","0"
"Blade","7.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0033","179.200003","0.000000000","0.00009","0.09630","1.06208","0"
"Blade","8.200","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0031","179.200003","0.000000000","0.00008","0.09613","1.06435","0"
"Blade","8.700","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0029","179.200003","0.000000000","0.00006","0.09597","1.06643","0"
"Blade","9.200","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0027","179.200003","0.000000000","0.00005","0.09582","1.06840","0"
