"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","3.43494","0.19025","0.69989","0"
"Blade","0.600","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","15.5517","179.200003","0.000000000","1.52676","0.13636","0.88980","0"
"Blade","1.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","1.5552","179.200003","0.000000000","0.17120","0.11581","0.97489","0"
"Blade","1.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.2222","179.200003","0.000000000","0.01549","0.10898","1.01936","0"
"Blade","2.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.1196","179.200003","0.000000000","0.00475","0.10636","1.04219","0"
"Blade","2.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0819","179.200003","0.000000000","0.00193","0.10492","1.05890","0"
"Blade","3.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0622","179.200003","0.000000000","0.00104","0.10402","1.06938","0"
"Blade","4.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0502","179.200003","0.000000000","0.00067","0.10335","1.07762","0"
"Blade","4.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0420","179.200003","0.000000000","0.00044","0.10281","1.08505","0"
"Blade","5.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0362","179.200003","0.000000000","0.00030","0.10238","1.09136","0"
"Blade","5.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0317","179.200003","0.000000000","0.00021","0.10202","1.09647","0"
"Blade","6.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0283","179.200003","0.000000000","0.00015","0.10172","1.10042","0"
"Blade","7.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0255","179.200003","0.000000000","0.00011","0.10147","1.10358","0"
"Blade","7.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0232","179.200003","0.000000000","0.00009","0.10125","1.10635","0"
"Blade","8.200","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0216","179.200003","0.000000000","0.00007","0.10109","1.10842","0"
"Blade","8.700","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0202","179.200003","0.000000000","0.00006","0.10094","1.11036","0"
"Blade","9.200","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0190","179.200003","0.000000000","0.00005","0.10080","1.11221","0"
