"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","181.542969","0.000000000","3.37002","0.19297","0.67811","0"
"Blade","0.600","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","30.4702","181.542969","0.000000000","1.18162","0.14119","0.83025","0"
"Blade","1.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","3.0470","181.542969","0.000000000","0.17616","0.11991","0.90550","0"
"Blade","1.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.4353","181.542969","0.000000000","0.03092","0.11109","0.94760","0"
"Blade","2.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.2344","181.542969","0.000000000","0.00738","0.10736","0.97169","0"
"Blade","2.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.1604","181.542969","0.000000000","0.00275","0.10545","0.98751","0"
"Blade","3.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.1219","181.542969","0.000000000","0.00133","0.10430","0.99964","0"
"Blade","4.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0983","181.542969","0.000000000","0.00076","0.10351","1.00895","0"
"Blade","4.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0824","181.542969","0.000000000","0.00049","0.10290","1.01626","0"
"Blade","5.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0709","181.542969","0.000000000","0.00035","0.10242","1.02236","0"
"Blade","5.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0622","181.542969","0.000000000","0.00026","0.10201","1.02769","0"
"Blade","6.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0554","181.542969","0.000000000","0.00020","0.10166","1.03242","0"
"Blade","7.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0500","181.542969","0.000000000","0.00016","0.10135","1.03689","0"
"Blade","7.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0455","181.542969","0.000000000","0.00013","0.10108","1.04087","0"
"Blade","8.200","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0423","181.542969","0.000000000","0.00011","0.10087","1.04388","0"
"Blade","8.700","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0396","181.542969","0.000000000","0.00009","0.10069","1.04677","0"
"Blade","9.200","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0372","181.542969","0.000000000","0.00008","0.10051","1.04956","0"
