"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Idle","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","1.32267","0.19272","0.66592","0"
"Idle","0.600","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.47428","0.16334","0.75639","0"
"Idle","1.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.21982","0.14606","0.81641","0"
"Idle","1.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.07672","0.13274","0.86465","0"
"Idle","2.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.02368","0.12593","0.89398","0"
"Idle","2.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00749","0.12209","0.91640","0"
"Idle","3.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00293","0.11999","0.93084","0"
"Idle","4.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00163","0.11865","0.94188","0"
"Idle","4.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00111","0.11764","0.95244","0"
"Idle","5.300","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00082","0.11681","0.96250","0"
"Idle","5.900","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00063","0.11611","0.97172","0"
"Idle","6.500","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00048","0.11550","0.97968","0"
"Idle","7.100","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00037","0.11498","0.98612","0"
"Idle","7.700","60.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00030","0.11453","0.99169","0"
"Idle","8.200","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00025","0.11418","0.99589","0"
"Idle","8.700","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00021","0.11386","0.99980","0"
"Idle","9.200","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00018","0.11357","1.00345","0"
