"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.050","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Blade","0.600","60.0","0.050","0.000","15.4783","58.1955","0.00000","0.0000","921.599801","0.000000000","0.00976","0.19997","1.77500","0"
"Blade","1.100","60.0","0.050","0.050","-12.2472","28.6627","-0.15554","31.1084","921.599801","0.000000000","0.00463","0.19997","1.77500","0"
"Blade","1.700","60.0","0.050","0.050","12.4585","-1.5394","0.99575","38.1512","921.599801","0.000000000","0.00278","0.19998","1.77500","0"
"Blade","2.300","60.0","0.050","0.050","19.6430","-2.4807","2.52388","44.0527","921.599801","0.000000000","0.00105","0.20000","1.77500","0"
"Blade","2.900","60.0","0.050","0.050","126.7152","37.0262","4.79241","54.0205","921.599801","0.000000000","0.00429","0.20001","1.77500","0"
"Blade","3.500","60.0","0.050","0.050","109.0886","16.6339","7.35491","61.5556","921.599801","0.000000000","0.01573","0.20005","1.77500","0"
"Blade","4.100","60.0","0.050","0.050","68.0629","-7.7280","9.84648","65.7163","921.599801","0.000000000","0.00476","0.20009","1.77500","0"
"Blade","4.700","60.0","0.050","0.050","55.4619","-3.7640","12.43018","69.0255","921.599801","0.000000000","0.00433","0.20013","1.77500","0"
"Blade","5.300","60.0","0.050","0.050","65.3204","-4.1980","15.21945","72.3674","921.599801","0.000000000","0.00356","0.20016","1.77500","0"
"Blade","5.900","60.0","0.050","0.050","161.4624","28.5371","18.57333","77.1954","921.599801","0.000000000","0.00962","0.20019","1.77500","0"
"Blade","6.500","60.0","0.050","0.050","138.5925","11.1763","22.12053","81.6730","921.599801","0.000000000","0.01633","0.20024","1.77500","0"
"Blade","7.100","60.0","0.050","0.050","96.3285","-13.4161","25.50728","84.7437","921.599801","0.000000000","0.00611","0.20028","1.77500","0"
"Blade","7.700","60.0","0.050","0.050","79.1701","-8.3342","28.88360","87.2333","921.599801","0.000000000","0.00722","0.20031","1.77500","0"
"Blade","8.200","60.0","0.050","0.000","48.5358","24.7605","31.14657","89.5340","921.599801","0.000000000","0.00130","0.20032","1.77500","0"
